timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 19:28:34.888, 1 %, 0 %, 11396 MiB, 12288 MiB, 50, 13.04 W
2026/01/19 19:28:35.895, 0 %, 0 %, 11386 MiB, 12288 MiB, 50, 13.68 W
2026/01/19 19:28:36.902, 98 %, 75 %, 11406 MiB, 12288 MiB, 53, 15.84 W
2026/01/19 19:28:37.983, 87 %, 77 %, 11417 MiB, 12288 MiB, 56, 110.26 W
2026/01/19 19:28:38.991, 85 %, 76 %, 11417 MiB, 12288 MiB, 57, 123.82 W
2026/01/19 19:28:39.999, 89 %, 57 %, 11417 MiB, 12288 MiB, 57, 125.65 W
2026/01/19 19:28:41.004, 84 %, 74 %, 11416 MiB, 12288 MiB, 57, 123.83 W
2026/01/19 19:28:42.008, 84 %, 73 %, 11416 MiB, 12288 MiB, 57, 123.13 W
2026/01/19 19:28:43.012, 85 %, 74 %, 11416 MiB, 12288 MiB, 58, 126.88 W
2026/01/19 19:28:44.016, 85 %, 75 %, 11416 MiB, 12288 MiB, 58, 125.34 W
2026/01/19 19:28:45.018, 86 %, 76 %, 11416 MiB, 12288 MiB, 58, 125.96 W
2026/01/19 19:28:46.020, 86 %, 76 %, 11416 MiB, 12288 MiB, 58, 127.74 W
2026/01/19 19:28:47.021, 86 %, 76 %, 11416 MiB, 12288 MiB, 58, 125.65 W
2026/01/19 19:28:48.022, 86 %, 76 %, 11416 MiB, 12288 MiB, 58, 126.53 W
2026/01/19 19:28:49.023, 86 %, 76 %, 11416 MiB, 12288 MiB, 58, 125.97 W
2026/01/19 19:28:50.024, 86 %, 77 %, 11416 MiB, 12288 MiB, 58, 126.26 W
2026/01/19 19:28:51.025, 86 %, 59 %, 11416 MiB, 12288 MiB, 58, 126.76 W
2026/01/19 19:28:52.026, 84 %, 74 %, 11416 MiB, 12288 MiB, 58, 125.61 W
2026/01/19 19:28:53.027, 86 %, 76 %, 11416 MiB, 12288 MiB, 58, 125.73 W
2026/01/19 19:28:54.033, 86 %, 76 %, 11416 MiB, 12288 MiB, 59, 126.71 W
2026/01/19 19:28:55.034, 84 %, 75 %, 11421 MiB, 12288 MiB, 58, 125.68 W
2026/01/19 19:28:56.039, 85 %, 75 %, 11421 MiB, 12288 MiB, 58, 126.06 W
2026/01/19 19:28:57.040, 87 %, 77 %, 11421 MiB, 12288 MiB, 58, 126.60 W
2026/01/19 19:28:58.047, 86 %, 76 %, 11419 MiB, 12288 MiB, 58, 126.18 W
2026/01/19 19:28:59.052, 85 %, 75 %, 11419 MiB, 12288 MiB, 58, 125.36 W
2026/01/19 19:29:00.053, 82 %, 72 %, 11419 MiB, 12288 MiB, 58, 126.55 W
2026/01/19 19:29:01.055, 83 %, 74 %, 11419 MiB, 12288 MiB, 58, 125.92 W
2026/01/19 19:29:02.056, 85 %, 75 %, 11419 MiB, 12288 MiB, 58, 127.20 W
2026/01/19 19:29:03.057, 86 %, 76 %, 11419 MiB, 12288 MiB, 59, 127.20 W
2026/01/19 19:29:04.058, 87 %, 77 %, 11419 MiB, 12288 MiB, 59, 127.04 W
2026/01/19 19:29:05.059, 87 %, 68 %, 11419 MiB, 12288 MiB, 59, 128.30 W
2026/01/19 19:29:06.060, 86 %, 77 %, 11419 MiB, 12288 MiB, 59, 125.39 W
2026/01/19 19:29:07.061, 86 %, 76 %, 11419 MiB, 12288 MiB, 59, 127.57 W
2026/01/19 19:29:08.103, 85 %, 76 %, 11419 MiB, 12288 MiB, 59, 127.94 W
2026/01/19 19:29:09.111, 85 %, 76 %, 11419 MiB, 12288 MiB, 59, 125.54 W
2026/01/19 19:29:10.118, 86 %, 76 %, 11419 MiB, 12288 MiB, 59, 127.11 W
2026/01/19 19:29:11.123, 86 %, 76 %, 11419 MiB, 12288 MiB, 59, 128.38 W
2026/01/19 19:29:12.127, 85 %, 75 %, 11419 MiB, 12288 MiB, 59, 126.12 W
2026/01/19 19:29:13.131, 87 %, 55 %, 11419 MiB, 12288 MiB, 59, 127.39 W
2026/01/19 19:29:14.134, 86 %, 76 %, 11419 MiB, 12288 MiB, 59, 126.31 W
2026/01/19 19:29:15.136, 85 %, 75 %, 11419 MiB, 12288 MiB, 59, 126.27 W
2026/01/19 19:29:16.139, 86 %, 76 %, 11441 MiB, 12288 MiB, 59, 127.33 W
2026/01/19 19:29:17.144, 86 %, 76 %, 11441 MiB, 12288 MiB, 59, 126.76 W
2026/01/19 19:29:18.145, 84 %, 74 %, 11441 MiB, 12288 MiB, 59, 125.88 W
2026/01/19 19:29:19.157, 86 %, 75 %, 11441 MiB, 12288 MiB, 59, 125.75 W
2026/01/19 19:29:20.158, 86 %, 77 %, 11441 MiB, 12288 MiB, 59, 126.53 W
2026/01/19 19:29:21.159, 82 %, 72 %, 11441 MiB, 12288 MiB, 58, 118.88 W
2026/01/19 19:29:22.160, 0 %, 0 %, 11441 MiB, 12288 MiB, 55, 71.75 W
2026/01/19 19:29:23.161, 0 %, 0 %, 11441 MiB, 12288 MiB, 54, 46.28 W
2026/01/19 19:29:24.162, 0 %, 0 %, 11441 MiB, 12288 MiB, 52, 28.45 W
