timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 19:29:29.279, 0 %, 0 %, 11438 MiB, 12288 MiB, 49, 13.55 W
2026/01/19 19:29:30.281, 0 %, 0 %, 11427 MiB, 12288 MiB, 49, 13.46 W
2026/01/19 19:29:31.282, 98 %, 74 %, 11455 MiB, 12288 MiB, 49, 15.79 W
2026/01/19 19:29:32.292, 84 %, 74 %, 11467 MiB, 12288 MiB, 55, 109.77 W
2026/01/19 19:29:33.293, 86 %, 76 %, 11467 MiB, 12288 MiB, 56, 123.22 W
2026/01/19 19:29:34.294, 87 %, 62 %, 11466 MiB, 12288 MiB, 56, 125.74 W
2026/01/19 19:29:35.295, 84 %, 74 %, 11466 MiB, 12288 MiB, 56, 125.59 W
2026/01/19 19:29:36.296, 86 %, 76 %, 11466 MiB, 12288 MiB, 57, 125.49 W
2026/01/19 19:29:37.329, 90 %, 51 %, 11466 MiB, 12288 MiB, 57, 125.89 W
2026/01/19 19:29:38.330, 79 %, 69 %, 11466 MiB, 12288 MiB, 56, 126.57 W
2026/01/19 19:29:39.339, 85 %, 74 %, 11466 MiB, 12288 MiB, 57, 126.37 W
2026/01/19 19:29:40.346, 88 %, 65 %, 11466 MiB, 12288 MiB, 57, 128.10 W
2026/01/19 19:29:41.357, 87 %, 77 %, 11466 MiB, 12288 MiB, 57, 126.70 W
2026/01/19 19:29:42.370, 88 %, 76 %, 11466 MiB, 12288 MiB, 57, 127.83 W
2026/01/19 19:29:43.374, 86 %, 75 %, 11466 MiB, 12288 MiB, 58, 129.10 W
2026/01/19 19:29:44.377, 87 %, 77 %, 11466 MiB, 12288 MiB, 58, 126.68 W
2026/01/19 19:29:45.379, 88 %, 76 %, 11466 MiB, 12288 MiB, 57, 127.97 W
2026/01/19 19:29:46.381, 87 %, 75 %, 11466 MiB, 12288 MiB, 58, 129.08 W
2026/01/19 19:29:47.382, 84 %, 74 %, 11466 MiB, 12288 MiB, 58, 127.25 W
2026/01/19 19:29:48.383, 84 %, 73 %, 11466 MiB, 12288 MiB, 58, 126.64 W
2026/01/19 19:29:49.384, 84 %, 73 %, 11466 MiB, 12288 MiB, 58, 126.50 W
2026/01/19 19:29:50.385, 86 %, 76 %, 11466 MiB, 12288 MiB, 58, 127.48 W
2026/01/19 19:29:51.387, 88 %, 76 %, 11466 MiB, 12288 MiB, 58, 127.47 W
2026/01/19 19:29:52.387, 87 %, 76 %, 11466 MiB, 12288 MiB, 58, 128.23 W
2026/01/19 19:29:53.394, 85 %, 75 %, 11466 MiB, 12288 MiB, 58, 125.91 W
2026/01/19 19:29:54.395, 82 %, 72 %, 11466 MiB, 12288 MiB, 58, 126.31 W
2026/01/19 19:29:55.396, 87 %, 77 %, 11471 MiB, 12288 MiB, 58, 127.90 W
2026/01/19 19:29:56.397, 85 %, 75 %, 11471 MiB, 12288 MiB, 58, 127.37 W
2026/01/19 19:29:57.398, 88 %, 53 %, 11471 MiB, 12288 MiB, 59, 129.86 W
2026/01/19 19:29:58.399, 81 %, 72 %, 11469 MiB, 12288 MiB, 58, 126.09 W
2026/01/19 19:29:59.400, 78 %, 68 %, 11469 MiB, 12288 MiB, 58, 123.24 W
2026/01/19 19:30:00.401, 89 %, 50 %, 11468 MiB, 12288 MiB, 58, 125.55 W
2026/01/19 19:30:01.402, 80 %, 70 %, 11468 MiB, 12288 MiB, 58, 122.82 W
2026/01/19 19:30:02.403, 84 %, 73 %, 11467 MiB, 12288 MiB, 58, 124.13 W
2026/01/19 19:30:03.405, 88 %, 52 %, 11467 MiB, 12288 MiB, 58, 125.48 W
2026/01/19 19:30:04.420, 83 %, 73 %, 11467 MiB, 12288 MiB, 58, 122.40 W
2026/01/19 19:30:05.421, 81 %, 71 %, 11467 MiB, 12288 MiB, 58, 124.79 W
2026/01/19 19:30:06.423, 9 %, 8 %, 11467 MiB, 12288 MiB, 54, 105.21 W
2026/01/19 19:30:07.476, 0 %, 0 %, 11467 MiB, 12288 MiB, 54, 46.33 W
2026/01/19 19:30:08.480, 0 %, 0 %, 11467 MiB, 12288 MiB, 52, 37.51 W
