timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 17:02:20.345, 2 %, 5 %, 5904 MiB, 12288 MiB, 51, 14.82 W
2026/01/19 17:02:21.351, 14 %, 8 %, 5924 MiB, 12288 MiB, 50, 14.93 W
2026/01/19 17:02:22.436, 97 %, 74 %, 5931 MiB, 12288 MiB, 50, 22.34 W
2026/01/19 17:02:23.444, 79 %, 71 %, 5931 MiB, 12288 MiB, 56, 113.16 W
2026/01/19 17:02:24.456, 87 %, 77 %, 5931 MiB, 12288 MiB, 56, 120.01 W
2026/01/19 17:02:25.461, 88 %, 78 %, 5992 MiB, 12288 MiB, 57, 119.76 W
2026/01/19 17:02:26.469, 86 %, 75 %, 5992 MiB, 12288 MiB, 57, 119.27 W
2026/01/19 17:02:27.471, 82 %, 73 %, 5992 MiB, 12288 MiB, 57, 120.12 W
2026/01/19 17:02:28.477, 87 %, 76 %, 5990 MiB, 12288 MiB, 57, 121.26 W
2026/01/19 17:02:29.478, 87 %, 77 %, 5990 MiB, 12288 MiB, 58, 121.86 W
2026/01/19 17:02:30.484, 82 %, 71 %, 5941 MiB, 12288 MiB, 58, 120.90 W
2026/01/19 17:02:31.489, 74 %, 66 %, 5927 MiB, 12288 MiB, 58, 119.94 W
2026/01/19 17:02:32.499, 87 %, 78 %, 5901 MiB, 12288 MiB, 58, 119.70 W
2026/01/19 17:02:33.504, 87 %, 78 %, 5899 MiB, 12288 MiB, 58, 122.67 W
2026/01/19 17:02:34.506, 86 %, 77 %, 5891 MiB, 12288 MiB, 58, 121.29 W
2026/01/19 17:02:35.506, 87 %, 78 %, 5899 MiB, 12288 MiB, 58, 122.88 W
2026/01/19 17:02:36.508, 84 %, 75 %, 5899 MiB, 12288 MiB, 58, 119.73 W
2026/01/19 17:02:37.515, 85 %, 76 %, 5905 MiB, 12288 MiB, 57, 117.41 W
2026/01/19 17:02:38.516, 84 %, 74 %, 5905 MiB, 12288 MiB, 58, 123.31 W
2026/01/19 17:02:39.517, 81 %, 72 %, 5904 MiB, 12288 MiB, 58, 120.69 W
2026/01/19 17:02:40.518, 84 %, 74 %, 5905 MiB, 12288 MiB, 58, 119.97 W
2026/01/19 17:02:41.519, 77 %, 69 %, 5905 MiB, 12288 MiB, 58, 120.61 W
2026/01/19 17:02:42.520, 88 %, 77 %, 5897 MiB, 12288 MiB, 58, 119.99 W
2026/01/19 17:02:43.521, 82 %, 74 %, 5889 MiB, 12288 MiB, 58, 120.82 W
2026/01/19 17:02:44.522, 88 %, 78 %, 5901 MiB, 12288 MiB, 58, 121.91 W
2026/01/19 17:02:45.523, 86 %, 77 %, 5901 MiB, 12288 MiB, 58, 121.52 W
2026/01/19 17:02:46.524, 77 %, 66 %, 5915 MiB, 12288 MiB, 58, 118.28 W
2026/01/19 17:02:47.525, 84 %, 75 %, 5911 MiB, 12288 MiB, 58, 119.49 W
2026/01/19 17:02:48.526, 82 %, 73 %, 5911 MiB, 12288 MiB, 58, 121.84 W
2026/01/19 17:02:49.527, 84 %, 76 %, 5903 MiB, 12288 MiB, 58, 122.49 W
2026/01/19 17:02:50.541, 79 %, 70 %, 5914 MiB, 12288 MiB, 58, 121.25 W
2026/01/19 17:02:51.542, 84 %, 75 %, 5912 MiB, 12288 MiB, 58, 120.87 W
2026/01/19 17:02:52.643, 85 %, 76 %, 5902 MiB, 12288 MiB, 58, 121.02 W
2026/01/19 17:02:53.651, 84 %, 74 %, 5906 MiB, 12288 MiB, 58, 117.56 W
2026/01/19 17:02:54.661, 84 %, 75 %, 5907 MiB, 12288 MiB, 58, 120.16 W
2026/01/19 17:02:55.667, 85 %, 77 %, 5906 MiB, 12288 MiB, 58, 122.79 W
2026/01/19 17:02:56.677, 81 %, 72 %, 5906 MiB, 12288 MiB, 58, 123.44 W
2026/01/19 17:02:57.683, 88 %, 78 %, 5905 MiB, 12288 MiB, 58, 121.07 W
2026/01/19 17:02:58.689, 86 %, 77 %, 5906 MiB, 12288 MiB, 58, 122.15 W
2026/01/19 17:02:59.693, 88 %, 77 %, 5902 MiB, 12288 MiB, 58, 123.72 W
2026/01/19 17:03:00.694, 84 %, 73 %, 5989 MiB, 12288 MiB, 58, 122.05 W
2026/01/19 17:03:01.695, 84 %, 73 %, 5989 MiB, 12288 MiB, 58, 121.57 W
2026/01/19 17:03:02.696, 87 %, 76 %, 5970 MiB, 12288 MiB, 58, 123.55 W
2026/01/19 17:03:03.697, 87 %, 75 %, 5913 MiB, 12288 MiB, 58, 123.76 W
2026/01/19 17:03:04.698, 87 %, 76 %, 5908 MiB, 12288 MiB, 59, 123.05 W
2026/01/19 17:03:05.699, 86 %, 74 %, 5907 MiB, 12288 MiB, 59, 122.58 W
2026/01/19 17:03:06.700, 86 %, 77 %, 5904 MiB, 12288 MiB, 59, 121.72 W
2026/01/19 17:03:07.706, 85 %, 76 %, 5898 MiB, 12288 MiB, 58, 122.44 W
2026/01/19 17:03:08.707, 89 %, 79 %, 5888 MiB, 12288 MiB, 59, 123.10 W
2026/01/19 17:03:09.708, 88 %, 77 %, 5888 MiB, 12288 MiB, 59, 123.70 W
2026/01/19 17:03:10.709, 88 %, 78 %, 5900 MiB, 12288 MiB, 59, 123.95 W
2026/01/19 17:03:11.710, 82 %, 73 %, 5900 MiB, 12288 MiB, 59, 123.95 W
2026/01/19 17:03:12.711, 89 %, 79 %, 5900 MiB, 12288 MiB, 59, 124.47 W
2026/01/19 17:03:13.713, 88 %, 78 %, 5891 MiB, 12288 MiB, 58, 124.10 W
2026/01/19 17:03:14.714, 86 %, 74 %, 5911 MiB, 12288 MiB, 59, 123.10 W
2026/01/19 17:03:15.715, 89 %, 78 %, 5974 MiB, 12288 MiB, 59, 122.72 W
2026/01/19 17:03:16.720, 89 %, 78 %, 5957 MiB, 12288 MiB, 59, 123.65 W
2026/01/19 17:03:17.721, 88 %, 76 %, 5907 MiB, 12288 MiB, 59, 124.44 W
2026/01/19 17:03:18.726, 88 %, 77 %, 5898 MiB, 12288 MiB, 59, 123.72 W
