timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/20 17:57:38.349, 87 %, 77 %, 11304 MiB, 12288 MiB, 59, 126.04 W
2026/01/20 17:57:39.350, 0 %, 0 %, 11304 MiB, 12288 MiB, 55, 87.28 W
2026/01/20 17:57:40.353, 85 %, 75 %, 11304 MiB, 12288 MiB, 59, 122.99 W
2026/01/20 17:57:41.354, 83 %, 74 %, 11303 MiB, 12288 MiB, 59, 128.05 W
2026/01/20 17:57:42.355, 87 %, 64 %, 11303 MiB, 12288 MiB, 60, 133.83 W
2026/01/20 17:57:43.359, 83 %, 73 %, 11303 MiB, 12288 MiB, 60, 133.10 W
2026/01/20 17:57:44.360, 86 %, 76 %, 11303 MiB, 12288 MiB, 60, 132.20 W
2026/01/20 17:57:45.361, 85 %, 75 %, 11303 MiB, 12288 MiB, 59, 131.77 W
2026/01/20 17:57:46.362, 84 %, 67 %, 11303 MiB, 12288 MiB, 60, 133.74 W
2026/01/20 17:57:47.367, 84 %, 69 %, 11303 MiB, 12288 MiB, 60, 132.60 W
2026/01/20 17:57:48.368, 84 %, 73 %, 11303 MiB, 12288 MiB, 60, 131.89 W
2026/01/20 17:57:49.369, 84 %, 74 %, 11303 MiB, 12288 MiB, 60, 132.32 W
2026/01/20 17:57:50.370, 82 %, 72 %, 11303 MiB, 12288 MiB, 60, 129.39 W
2026/01/20 17:57:51.404, 87 %, 76 %, 11303 MiB, 12288 MiB, 60, 125.55 W
2026/01/20 17:57:52.406, 81 %, 72 %, 11303 MiB, 12288 MiB, 59, 124.10 W
