timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/20 17:52:29.464, 84 %, 74 %, 11329 MiB, 12288 MiB, 57, 121.88 W
2026/01/20 17:52:30.902, 86 %, 77 %, 11326 MiB, 12288 MiB, 57, 119.21 W
2026/01/20 17:52:31.907, 85 %, 75 %, 11326 MiB, 12288 MiB, 57, 120.62 W
2026/01/20 17:52:32.919, 87 %, 77 %, 11326 MiB, 12288 MiB, 57, 122.18 W
2026/01/20 17:52:33.924, 88 %, 77 %, 11326 MiB, 12288 MiB, 57, 123.09 W
2026/01/20 17:52:34.929, 84 %, 74 %, 11326 MiB, 12288 MiB, 57, 121.98 W
2026/01/20 17:52:35.930, 86 %, 77 %, 11326 MiB, 12288 MiB, 57, 124.04 W
2026/01/20 17:52:36.931, 80 %, 70 %, 11326 MiB, 12288 MiB, 57, 120.09 W
2026/01/20 17:52:37.945, 87 %, 77 %, 11326 MiB, 12288 MiB, 57, 121.59 W
2026/01/20 17:52:38.946, 87 %, 76 %, 11325 MiB, 12288 MiB, 57, 123.38 W
2026/01/20 17:52:39.947, 88 %, 77 %, 11341 MiB, 12288 MiB, 57, 123.55 W
2026/01/20 17:52:40.948, 87 %, 77 %, 11341 MiB, 12288 MiB, 57, 123.02 W
2026/01/20 17:52:41.949, 85 %, 75 %, 11340 MiB, 12288 MiB, 57, 121.54 W
2026/01/20 17:52:42.951, 87 %, 77 %, 11340 MiB, 12288 MiB, 57, 123.31 W
2026/01/20 17:52:43.951, 84 %, 75 %, 11340 MiB, 12288 MiB, 57, 122.80 W
2026/01/20 17:52:44.952, 79 %, 67 %, 11339 MiB, 12288 MiB, 57, 119.14 W
2026/01/20 17:52:45.953, 87 %, 76 %, 11325 MiB, 12288 MiB, 57, 121.37 W
2026/01/20 17:52:46.954, 79 %, 68 %, 11297 MiB, 12288 MiB, 57, 119.37 W
2026/01/20 17:52:47.964, 87 %, 77 %, 11298 MiB, 12288 MiB, 57, 122.41 W
2026/01/20 17:52:48.965, 89 %, 79 %, 11298 MiB, 12288 MiB, 57, 120.84 W
2026/01/20 17:52:49.967, 85 %, 75 %, 11298 MiB, 12288 MiB, 57, 121.09 W
2026/01/20 17:52:50.993, 84 %, 75 %, 11297 MiB, 12288 MiB, 57, 122.68 W
2026/01/20 17:52:52.028, 83 %, 73 %, 11297 MiB, 12288 MiB, 57, 121.47 W
2026/01/20 17:52:53.033, 84 %, 75 %, 11297 MiB, 12288 MiB, 57, 121.79 W
2026/01/20 17:52:54.035, 87 %, 77 %, 11297 MiB, 12288 MiB, 57, 122.31 W
2026/01/20 17:52:55.038, 86 %, 75 %, 11297 MiB, 12288 MiB, 57, 122.16 W
2026/01/20 17:52:56.039, 89 %, 79 %, 11292 MiB, 12288 MiB, 57, 122.57 W
2026/01/20 17:52:57.063, 83 %, 74 %, 11288 MiB, 12288 MiB, 58, 121.92 W
2026/01/20 17:52:58.065, 88 %, 78 %, 11288 MiB, 12288 MiB, 57, 124.06 W
2026/01/20 17:52:59.102, 87 %, 77 %, 11288 MiB, 12288 MiB, 57, 122.66 W
2026/01/20 17:53:00.711, 85 %, 75 %, 11288 MiB, 12288 MiB, 57, 122.85 W
2026/01/20 17:53:01.716, 87 %, 77 %, 11287 MiB, 12288 MiB, 57, 123.30 W
2026/01/20 17:53:02.717, 84 %, 74 %, 11287 MiB, 12288 MiB, 57, 121.64 W
2026/01/20 17:53:03.719, 80 %, 71 %, 11287 MiB, 12288 MiB, 58, 122.35 W
