timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 17:03:32.948, 0 %, 4 %, 5967 MiB, 12288 MiB, 49, 14.02 W
2026/01/19 17:03:33.950, 1 %, 6 %, 5904 MiB, 12288 MiB, 49, 14.38 W
2026/01/19 17:03:34.951, 99 %, 77 %, 5904 MiB, 12288 MiB, 49, 16.36 W
2026/01/19 17:03:35.952, 82 %, 73 %, 5965 MiB, 12288 MiB, 55, 105.84 W
2026/01/19 17:03:36.953, 85 %, 74 %, 5965 MiB, 12288 MiB, 56, 121.11 W
2026/01/19 17:03:37.955, 88 %, 78 %, 5965 MiB, 12288 MiB, 56, 121.33 W
2026/01/19 17:03:38.956, 82 %, 72 %, 5963 MiB, 12288 MiB, 56, 120.05 W
2026/01/19 17:03:39.957, 89 %, 79 %, 5963 MiB, 12288 MiB, 56, 122.06 W
2026/01/19 17:03:40.958, 82 %, 73 %, 5961 MiB, 12288 MiB, 56, 119.28 W
2026/01/19 17:03:41.959, 87 %, 77 %, 5961 MiB, 12288 MiB, 56, 121.56 W
2026/01/19 17:03:42.960, 88 %, 76 %, 5961 MiB, 12288 MiB, 57, 123.09 W
2026/01/19 17:03:43.974, 86 %, 77 %, 5970 MiB, 12288 MiB, 57, 122.17 W
2026/01/19 17:03:44.975, 83 %, 72 %, 5903 MiB, 12288 MiB, 57, 118.47 W
2026/01/19 17:03:45.981, 89 %, 77 %, 5961 MiB, 12288 MiB, 57, 119.94 W
2026/01/19 17:03:46.982, 88 %, 76 %, 5953 MiB, 12288 MiB, 57, 120.18 W
2026/01/19 17:03:47.988, 84 %, 73 %, 5880 MiB, 12288 MiB, 57, 118.56 W
2026/01/19 17:03:48.993, 87 %, 70 %, 5880 MiB, 12288 MiB, 57, 120.22 W
2026/01/19 17:03:49.999, 84 %, 74 %, 5951 MiB, 12288 MiB, 56, 120.10 W
2026/01/19 17:03:51.000, 88 %, 72 %, 5951 MiB, 12288 MiB, 57, 121.94 W
2026/01/19 17:03:52.085, 87 %, 77 %, 5951 MiB, 12288 MiB, 57, 122.76 W
2026/01/19 17:03:53.104, 83 %, 68 %, 5888 MiB, 12288 MiB, 57, 120.80 W
2026/01/19 17:03:54.115, 81 %, 72 %, 5900 MiB, 12288 MiB, 57, 121.33 W
2026/01/19 17:03:55.124, 82 %, 67 %, 5901 MiB, 12288 MiB, 57, 121.30 W
2026/01/19 17:03:56.131, 86 %, 75 %, 5905 MiB, 12288 MiB, 57, 121.17 W
2026/01/19 17:03:57.137, 87 %, 71 %, 5897 MiB, 12288 MiB, 57, 121.36 W
2026/01/19 17:03:58.142, 88 %, 79 %, 5897 MiB, 12288 MiB, 57, 122.15 W
2026/01/19 17:03:59.146, 83 %, 68 %, 5897 MiB, 12288 MiB, 57, 120.32 W
2026/01/19 17:04:00.149, 86 %, 77 %, 5897 MiB, 12288 MiB, 57, 121.17 W
2026/01/19 17:04:01.150, 87 %, 72 %, 5968 MiB, 12288 MiB, 57, 120.94 W
2026/01/19 17:04:02.151, 84 %, 74 %, 5967 MiB, 12288 MiB, 57, 119.54 W
2026/01/19 17:04:03.152, 86 %, 73 %, 5903 MiB, 12288 MiB, 57, 119.19 W
2026/01/19 17:04:04.154, 81 %, 72 %, 5903 MiB, 12288 MiB, 57, 123.09 W
2026/01/19 17:04:05.155, 87 %, 71 %, 5902 MiB, 12288 MiB, 57, 122.97 W
2026/01/19 17:04:06.156, 89 %, 79 %, 5954 MiB, 12288 MiB, 58, 123.13 W
2026/01/19 17:04:07.156, 43 %, 38 %, 5962 MiB, 12288 MiB, 57, 116.25 W
2026/01/19 17:04:08.158, 2 %, 0 %, 5894 MiB, 12288 MiB, 53, 46.87 W
2026/01/19 17:04:09.158, 0 %, 0 %, 5894 MiB, 12288 MiB, 52, 42.89 W
2026/01/19 17:04:10.160, 0 %, 2 %, 5894 MiB, 12288 MiB, 50, 21.43 W
