timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 19:27:20.371, 2 %, 0 %, 11396 MiB, 12288 MiB, 51, 13.16 W
2026/01/19 19:27:21.373, 0 %, 0 %, 11396 MiB, 12288 MiB, 51, 13.72 W
2026/01/19 19:27:22.375, 0 %, 0 %, 11396 MiB, 12288 MiB, 52, 39.79 W
2026/01/19 19:27:23.819, 88 %, 77 %, 11397 MiB, 12288 MiB, 57, 104.29 W
2026/01/19 19:27:24.825, 85 %, 74 %, 11397 MiB, 12288 MiB, 57, 123.53 W
2026/01/19 19:27:25.830, 84 %, 72 %, 11397 MiB, 12288 MiB, 57, 120.53 W
2026/01/19 19:27:26.836, 88 %, 78 %, 11396 MiB, 12288 MiB, 57, 124.16 W
2026/01/19 19:27:27.842, 88 %, 77 %, 11396 MiB, 12288 MiB, 58, 124.35 W
2026/01/19 19:27:28.847, 89 %, 78 %, 11396 MiB, 12288 MiB, 58, 125.40 W
2026/01/19 19:27:29.853, 87 %, 77 %, 11396 MiB, 12288 MiB, 58, 125.23 W
2026/01/19 19:27:30.858, 85 %, 74 %, 11396 MiB, 12288 MiB, 58, 124.26 W
2026/01/19 19:27:31.863, 87 %, 77 %, 11396 MiB, 12288 MiB, 58, 125.16 W
2026/01/19 19:27:32.868, 88 %, 77 %, 11396 MiB, 12288 MiB, 58, 125.83 W
2026/01/19 19:27:33.875, 88 %, 75 %, 11396 MiB, 12288 MiB, 58, 126.68 W
2026/01/19 19:27:34.880, 87 %, 77 %, 11396 MiB, 12288 MiB, 58, 125.92 W
2026/01/19 19:27:35.886, 89 %, 78 %, 11396 MiB, 12288 MiB, 58, 125.51 W
2026/01/19 19:27:36.892, 84 %, 74 %, 11396 MiB, 12288 MiB, 58, 125.23 W
2026/01/19 19:27:37.937, 89 %, 78 %, 11396 MiB, 12288 MiB, 58, 125.76 W
