timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 17:05:22.858, 8 %, 6 %, 5918 MiB, 12288 MiB, 43, 15.37 W
2026/01/19 17:05:23.865, 0 %, 5 %, 5918 MiB, 12288 MiB, 43, 13.56 W
2026/01/19 17:05:24.873, 99 %, 79 %, 5919 MiB, 12288 MiB, 43, 16.34 W
2026/01/19 17:05:25.907, 88 %, 88 %, 5917 MiB, 12288 MiB, 51, 109.55 W
2026/01/19 17:05:26.911, 86 %, 86 %, 5921 MiB, 12288 MiB, 51, 127.18 W
2026/01/19 17:05:27.914, 87 %, 87 %, 5920 MiB, 12288 MiB, 52, 126.43 W
2026/01/19 17:05:28.917, 81 %, 81 %, 5916 MiB, 12288 MiB, 52, 125.92 W
2026/01/19 17:05:29.917, 75 %, 72 %, 5917 MiB, 12288 MiB, 52, 120.60 W
2026/01/19 17:05:30.919, 86 %, 87 %, 5916 MiB, 12288 MiB, 52, 125.61 W
2026/01/19 17:05:31.920, 80 %, 77 %, 5915 MiB, 12288 MiB, 52, 124.09 W
2026/01/19 17:05:32.921, 83 %, 84 %, 5915 MiB, 12288 MiB, 53, 126.89 W
2026/01/19 17:05:33.922, 80 %, 80 %, 5913 MiB, 12288 MiB, 53, 125.59 W
2026/01/19 17:05:34.927, 66 %, 65 %, 5973 MiB, 12288 MiB, 52, 120.79 W
2026/01/19 17:05:35.932, 86 %, 85 %, 5975 MiB, 12288 MiB, 52, 120.15 W
2026/01/19 17:05:36.933, 84 %, 83 %, 5977 MiB, 12288 MiB, 53, 122.16 W
2026/01/19 17:05:37.934, 80 %, 79 %, 5963 MiB, 12288 MiB, 53, 121.77 W
2026/01/19 17:05:38.935, 87 %, 85 %, 5914 MiB, 12288 MiB, 54, 128.81 W
2026/01/19 17:05:39.936, 80 %, 79 %, 5927 MiB, 12288 MiB, 53, 122.85 W
2026/01/19 17:05:40.943, 87 %, 87 %, 5926 MiB, 12288 MiB, 54, 124.62 W
2026/01/19 17:05:41.944, 82 %, 83 %, 5918 MiB, 12288 MiB, 54, 124.24 W
2026/01/19 17:05:42.944, 81 %, 81 %, 5928 MiB, 12288 MiB, 54, 125.29 W
2026/01/19 17:05:43.946, 85 %, 86 %, 5925 MiB, 12288 MiB, 54, 128.38 W
2026/01/19 17:05:44.949, 79 %, 80 %, 5919 MiB, 12288 MiB, 54, 125.80 W
2026/01/19 17:05:45.950, 81 %, 78 %, 5924 MiB, 12288 MiB, 54, 124.36 W
2026/01/19 17:05:46.951, 87 %, 87 %, 5923 MiB, 12288 MiB, 54, 125.29 W
2026/01/19 17:05:47.952, 82 %, 82 %, 5921 MiB, 12288 MiB, 54, 125.62 W
2026/01/19 17:05:48.953, 87 %, 86 %, 5919 MiB, 12288 MiB, 55, 123.44 W
2026/01/19 17:05:49.954, 76 %, 76 %, 5913 MiB, 12288 MiB, 54, 125.73 W
2026/01/19 17:05:50.955, 78 %, 78 %, 5900 MiB, 12288 MiB, 54, 123.28 W
2026/01/19 17:05:51.956, 89 %, 90 %, 5898 MiB, 12288 MiB, 55, 125.77 W
2026/01/19 17:05:53.048, 88 %, 88 %, 5957 MiB, 12288 MiB, 55, 126.31 W
2026/01/19 17:05:54.063, 87 %, 88 %, 5957 MiB, 12288 MiB, 55, 130.02 W
2026/01/19 17:05:55.071, 85 %, 82 %, 5957 MiB, 12288 MiB, 55, 127.28 W
2026/01/19 17:05:56.083, 86 %, 85 %, 5963 MiB, 12288 MiB, 55, 124.99 W
2026/01/19 17:05:57.093, 80 %, 80 %, 5964 MiB, 12288 MiB, 55, 123.79 W
2026/01/19 17:05:58.105, 89 %, 90 %, 5965 MiB, 12288 MiB, 55, 125.69 W
2026/01/19 17:05:59.108, 73 %, 73 %, 5964 MiB, 12288 MiB, 55, 124.65 W
2026/01/19 17:06:00.119, 76 %, 77 %, 5961 MiB, 12288 MiB, 55, 120.69 W
2026/01/19 17:06:01.121, 83 %, 82 %, 5902 MiB, 12288 MiB, 55, 121.43 W
2026/01/19 17:06:02.122, 83 %, 82 %, 5902 MiB, 12288 MiB, 55, 122.62 W
2026/01/19 17:06:03.124, 74 %, 75 %, 5969 MiB, 12288 MiB, 56, 120.54 W
2026/01/19 17:06:04.125, 85 %, 83 %, 5970 MiB, 12288 MiB, 56, 123.37 W
2026/01/19 17:06:05.126, 79 %, 77 %, 5974 MiB, 12288 MiB, 56, 123.22 W
2026/01/19 17:06:06.128, 79 %, 78 %, 5905 MiB, 12288 MiB, 56, 120.24 W
2026/01/19 17:06:07.129, 78 %, 76 %, 5885 MiB, 12288 MiB, 55, 118.22 W
2026/01/19 17:06:08.130, 75 %, 74 %, 5958 MiB, 12288 MiB, 55, 119.96 W
2026/01/19 17:06:09.131, 81 %, 80 %, 5959 MiB, 12288 MiB, 56, 121.40 W
2026/01/19 17:06:10.139, 74 %, 75 %, 5959 MiB, 12288 MiB, 56, 118.97 W
2026/01/19 17:06:11.150, 82 %, 83 %, 5959 MiB, 12288 MiB, 55, 122.29 W
2026/01/19 17:06:12.155, 82 %, 82 %, 5958 MiB, 12288 MiB, 56, 121.85 W
2026/01/19 17:06:13.161, 83 %, 84 %, 5955 MiB, 12288 MiB, 56, 123.78 W
2026/01/19 17:06:14.171, 82 %, 82 %, 5963 MiB, 12288 MiB, 56, 122.01 W
2026/01/19 17:06:15.179, 82 %, 80 %, 5951 MiB, 12288 MiB, 56, 123.55 W
2026/01/19 17:06:16.184, 84 %, 84 %, 5900 MiB, 12288 MiB, 56, 125.11 W
2026/01/19 17:06:17.193, 82 %, 83 %, 5900 MiB, 12288 MiB, 56, 126.47 W
2026/01/19 17:06:18.210, 82 %, 83 %, 5903 MiB, 12288 MiB, 57, 126.07 W
2026/01/19 17:06:19.223, 81 %, 78 %, 5903 MiB, 12288 MiB, 56, 125.82 W
2026/01/19 17:06:20.230, 81 %, 81 %, 5903 MiB, 12288 MiB, 57, 124.60 W
2026/01/19 17:06:21.236, 83 %, 81 %, 5902 MiB, 12288 MiB, 56, 125.08 W
2026/01/19 17:06:22.322, 72 %, 73 %, 5902 MiB, 12288 MiB, 57, 121.23 W
2026/01/19 17:06:23.330, 81 %, 82 %, 5901 MiB, 12288 MiB, 57, 122.99 W
2026/01/19 17:06:24.343, 83 %, 84 %, 5901 MiB, 12288 MiB, 56, 123.39 W
2026/01/19 17:06:25.370, 72 %, 73 %, 5901 MiB, 12288 MiB, 57, 121.00 W
2026/01/19 17:06:26.384, 86 %, 86 %, 5901 MiB, 12288 MiB, 56, 123.43 W
2026/01/19 17:06:27.393, 85 %, 85 %, 5890 MiB, 12288 MiB, 57, 124.10 W
2026/01/19 17:06:28.396, 79 %, 79 %, 5901 MiB, 12288 MiB, 57, 122.48 W
2026/01/19 17:06:29.397, 88 %, 88 %, 5901 MiB, 12288 MiB, 57, 128.98 W
2026/01/19 17:06:30.398, 81 %, 82 %, 5901 MiB, 12288 MiB, 57, 130.25 W
2026/01/19 17:06:31.399, 84 %, 82 %, 5921 MiB, 12288 MiB, 57, 128.05 W
2026/01/19 17:06:32.400, 85 %, 86 %, 5921 MiB, 12288 MiB, 57, 129.06 W
2026/01/19 17:06:33.401, 85 %, 84 %, 5921 MiB, 12288 MiB, 57, 128.36 W
2026/01/19 17:06:34.402, 78 %, 77 %, 5925 MiB, 12288 MiB, 57, 124.10 W
2026/01/19 17:06:35.403, 88 %, 88 %, 5925 MiB, 12288 MiB, 57, 127.93 W
2026/01/19 17:06:36.404, 86 %, 87 %, 5924 MiB, 12288 MiB, 58, 129.90 W
2026/01/19 17:06:37.420, 84 %, 84 %, 5916 MiB, 12288 MiB, 58, 129.55 W
2026/01/19 17:06:38.433, 86 %, 87 %, 5912 MiB, 12288 MiB, 58, 130.11 W
2026/01/19 17:06:39.449, 78 %, 79 %, 5909 MiB, 12288 MiB, 58, 128.34 W
2026/01/19 17:06:40.463, 88 %, 89 %, 5901 MiB, 12288 MiB, 58, 129.24 W
2026/01/19 17:06:41.476, 83 %, 84 %, 5891 MiB, 12288 MiB, 58, 130.49 W
2026/01/19 17:06:42.488, 85 %, 82 %, 5889 MiB, 12288 MiB, 58, 128.17 W
2026/01/19 17:06:43.501, 88 %, 89 %, 5899 MiB, 12288 MiB, 58, 132.21 W
2026/01/19 17:06:44.521, 83 %, 82 %, 5900 MiB, 12288 MiB, 58, 128.52 W
2026/01/19 17:06:45.534, 88 %, 87 %, 5897 MiB, 12288 MiB, 58, 127.59 W
2026/01/19 17:06:46.548, 84 %, 82 %, 5888 MiB, 12288 MiB, 58, 127.98 W
2026/01/19 17:06:47.561, 88 %, 87 %, 5901 MiB, 12288 MiB, 58, 128.39 W
2026/01/19 17:06:48.574, 85 %, 83 %, 5901 MiB, 12288 MiB, 58, 128.27 W
2026/01/19 17:06:49.590, 82 %, 83 %, 5902 MiB, 12288 MiB, 57, 124.96 W
2026/01/19 17:06:50.603, 81 %, 82 %, 5899 MiB, 12288 MiB, 58, 127.64 W
2026/01/19 17:06:51.616, 83 %, 80 %, 5890 MiB, 12288 MiB, 58, 129.61 W
2026/01/19 17:06:52.715, 88 %, 89 %, 5901 MiB, 12288 MiB, 58, 130.10 W
2026/01/19 17:06:53.732, 87 %, 86 %, 5901 MiB, 12288 MiB, 58, 130.95 W
2026/01/19 17:06:54.758, 88 %, 88 %, 5901 MiB, 12288 MiB, 59, 130.16 W
2026/01/19 17:06:55.775, 86 %, 84 %, 5892 MiB, 12288 MiB, 58, 125.05 W
2026/01/19 17:06:56.788, 86 %, 86 %, 5894 MiB, 12288 MiB, 58, 124.52 W
2026/01/19 17:06:57.791, 87 %, 87 %, 5904 MiB, 12288 MiB, 58, 129.54 W
2026/01/19 17:06:58.796, 87 %, 84 %, 5904 MiB, 12288 MiB, 58, 129.26 W
2026/01/19 17:06:59.800, 86 %, 86 %, 5904 MiB, 12288 MiB, 59, 128.78 W
2026/01/19 17:07:00.802, 74 %, 73 %, 5904 MiB, 12288 MiB, 58, 124.33 W
2026/01/19 17:07:01.803, 76 %, 75 %, 5896 MiB, 12288 MiB, 58, 124.28 W
2026/01/19 17:07:02.804, 87 %, 86 %, 5894 MiB, 12288 MiB, 59, 127.19 W
2026/01/19 17:07:03.806, 85 %, 86 %, 5902 MiB, 12288 MiB, 59, 127.33 W
2026/01/19 17:07:04.807, 82 %, 83 %, 5902 MiB, 12288 MiB, 59, 125.34 W
2026/01/19 17:07:05.809, 82 %, 83 %, 5901 MiB, 12288 MiB, 58, 125.99 W
2026/01/19 17:07:06.826, 85 %, 86 %, 5901 MiB, 12288 MiB, 58, 127.83 W
2026/01/19 17:07:07.836, 78 %, 78 %, 5906 MiB, 12288 MiB, 59, 124.92 W
2026/01/19 17:07:08.851, 86 %, 87 %, 5905 MiB, 12288 MiB, 59, 127.03 W
2026/01/19 17:07:09.865, 83 %, 83 %, 5904 MiB, 12288 MiB, 59, 128.30 W
2026/01/19 17:07:10.877, 85 %, 86 %, 5923 MiB, 12288 MiB, 59, 129.90 W
2026/01/19 17:07:11.890, 77 %, 78 %, 5923 MiB, 12288 MiB, 59, 126.08 W
2026/01/19 17:07:12.900, 82 %, 83 %, 5923 MiB, 12288 MiB, 59, 128.39 W
2026/01/19 17:07:13.923, 81 %, 82 %, 5923 MiB, 12288 MiB, 59, 128.86 W
2026/01/19 17:07:14.935, 87 %, 87 %, 5928 MiB, 12288 MiB, 59, 125.61 W
2026/01/19 17:07:15.948, 84 %, 85 %, 5920 MiB, 12288 MiB, 59, 126.35 W
2026/01/19 17:07:16.961, 81 %, 81 %, 5920 MiB, 12288 MiB, 59, 125.03 W
2026/01/19 17:07:17.974, 83 %, 84 %, 5981 MiB, 12288 MiB, 59, 126.28 W
2026/01/19 17:07:18.994, 85 %, 85 %, 5980 MiB, 12288 MiB, 59, 127.71 W
2026/01/19 17:07:20.006, 85 %, 86 %, 5975 MiB, 12288 MiB, 59, 129.90 W
2026/01/19 17:07:21.019, 85 %, 86 %, 5967 MiB, 12288 MiB, 59, 128.24 W
2026/01/19 17:07:22.032, 86 %, 84 %, 5967 MiB, 12288 MiB, 59, 127.08 W
2026/01/19 17:07:23.122, 87 %, 87 %, 5956 MiB, 12288 MiB, 59, 126.67 W
2026/01/19 17:07:24.148, 82 %, 82 %, 5956 MiB, 12288 MiB, 59, 126.62 W
2026/01/19 17:07:25.168, 83 %, 84 %, 5956 MiB, 12288 MiB, 59, 127.47 W
2026/01/19 17:07:26.173, 81 %, 80 %, 5955 MiB, 12288 MiB, 59, 127.29 W
2026/01/19 17:07:27.177, 82 %, 83 %, 5955 MiB, 12288 MiB, 59, 125.92 W
2026/01/19 17:07:28.180, 78 %, 78 %, 5955 MiB, 12288 MiB, 59, 128.42 W
2026/01/19 17:07:29.182, 86 %, 82 %, 5957 MiB, 12288 MiB, 59, 127.19 W
2026/01/19 17:07:30.183, 80 %, 81 %, 5957 MiB, 12288 MiB, 59, 126.23 W
2026/01/19 17:07:31.184, 77 %, 76 %, 5957 MiB, 12288 MiB, 59, 126.04 W
2026/01/19 17:07:32.186, 87 %, 88 %, 5909 MiB, 12288 MiB, 60, 128.44 W
2026/01/19 17:07:33.187, 82 %, 82 %, 5956 MiB, 12288 MiB, 60, 130.34 W
2026/01/19 17:07:34.188, 86 %, 87 %, 5966 MiB, 12288 MiB, 60, 129.55 W
2026/01/19 17:07:35.205, 86 %, 86 %, 5967 MiB, 12288 MiB, 60, 130.65 W
2026/01/19 17:07:36.214, 84 %, 85 %, 5967 MiB, 12288 MiB, 59, 125.90 W
2026/01/19 17:07:37.236, 81 %, 82 %, 5896 MiB, 12288 MiB, 60, 127.03 W
2026/01/19 17:07:38.245, 86 %, 83 %, 5957 MiB, 12288 MiB, 60, 127.99 W
2026/01/19 17:07:39.254, 84 %, 85 %, 5957 MiB, 12288 MiB, 59, 132.43 W
2026/01/19 17:07:40.267, 87 %, 86 %, 5968 MiB, 12288 MiB, 59, 128.54 W
2026/01/19 17:07:41.279, 83 %, 84 %, 5967 MiB, 12288 MiB, 60, 128.75 W
2026/01/19 17:07:42.292, 86 %, 86 %, 5967 MiB, 12288 MiB, 60, 129.99 W
2026/01/19 17:07:43.312, 85 %, 85 %, 5968 MiB, 12288 MiB, 60, 130.08 W
2026/01/19 17:07:44.325, 89 %, 90 %, 5908 MiB, 12288 MiB, 60, 129.93 W
2026/01/19 17:07:45.337, 82 %, 83 %, 5908 MiB, 12288 MiB, 60, 130.15 W
2026/01/19 17:07:46.350, 88 %, 89 %, 5908 MiB, 12288 MiB, 60, 132.26 W
2026/01/19 17:07:47.363, 89 %, 90 %, 5908 MiB, 12288 MiB, 60, 133.28 W
2026/01/19 17:07:48.382, 87 %, 87 %, 5907 MiB, 12288 MiB, 60, 129.97 W
2026/01/19 17:07:49.395, 87 %, 87 %, 5907 MiB, 12288 MiB, 60, 131.55 W
2026/01/19 17:07:50.408, 87 %, 88 %, 5907 MiB, 12288 MiB, 60, 132.60 W
2026/01/19 17:07:51.420, 83 %, 83 %, 5906 MiB, 12288 MiB, 60, 131.04 W
2026/01/19 17:07:52.433, 88 %, 89 %, 5906 MiB, 12288 MiB, 60, 131.53 W
2026/01/19 17:07:53.534, 79 %, 78 %, 5904 MiB, 12288 MiB, 60, 130.96 W
2026/01/19 17:07:54.544, 82 %, 83 %, 5904 MiB, 12288 MiB, 61, 129.17 W
2026/01/19 17:07:55.552, 89 %, 89 %, 5902 MiB, 12288 MiB, 60, 131.63 W
2026/01/19 17:07:56.558, 83 %, 83 %, 5902 MiB, 12288 MiB, 60, 131.34 W
2026/01/19 17:07:57.564, 84 %, 85 %, 5902 MiB, 12288 MiB, 60, 132.16 W
2026/01/19 17:07:58.569, 87 %, 82 %, 5914 MiB, 12288 MiB, 60, 130.08 W
2026/01/19 17:07:59.572, 85 %, 84 %, 5991 MiB, 12288 MiB, 60, 128.01 W
2026/01/19 17:08:00.575, 87 %, 85 %, 5991 MiB, 12288 MiB, 60, 128.08 W
2026/01/19 17:08:01.576, 88 %, 86 %, 5985 MiB, 12288 MiB, 61, 130.58 W
