timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/20 17:57:16.499, 85 %, 76 %, 11304 MiB, 12288 MiB, 59, 124.39 W
2026/01/20 17:57:17.505, 23 %, 20 %, 11304 MiB, 12288 MiB, 56, 104.26 W
2026/01/20 17:57:18.510, 0 %, 0 %, 11304 MiB, 12288 MiB, 58, 53.44 W
2026/01/20 17:57:19.532, 87 %, 65 %, 11304 MiB, 12288 MiB, 58, 122.86 W
2026/01/20 17:57:20.537, 84 %, 74 %, 11304 MiB, 12288 MiB, 59, 125.17 W
2026/01/20 17:57:21.542, 86 %, 66 %, 11304 MiB, 12288 MiB, 59, 126.73 W
2026/01/20 17:57:22.543, 82 %, 72 %, 11304 MiB, 12288 MiB, 59, 126.79 W
2026/01/20 17:57:23.544, 83 %, 73 %, 11304 MiB, 12288 MiB, 59, 126.45 W
2026/01/20 17:57:24.545, 87 %, 66 %, 11304 MiB, 12288 MiB, 59, 128.26 W
2026/01/20 17:57:25.546, 87 %, 76 %, 11304 MiB, 12288 MiB, 59, 127.00 W
2026/01/20 17:57:26.547, 81 %, 72 %, 11304 MiB, 12288 MiB, 59, 123.62 W
2026/01/20 17:57:27.548, 84 %, 64 %, 11304 MiB, 12288 MiB, 59, 126.61 W
2026/01/20 17:57:28.549, 86 %, 77 %, 11304 MiB, 12288 MiB, 59, 131.42 W
2026/01/20 17:57:29.550, 83 %, 74 %, 11304 MiB, 12288 MiB, 60, 129.89 W
2026/01/20 17:57:30.551, 86 %, 61 %, 11304 MiB, 12288 MiB, 59, 128.60 W
2026/01/20 17:57:31.552, 86 %, 75 %, 11304 MiB, 12288 MiB, 59, 126.37 W
2026/01/20 17:57:32.557, 86 %, 74 %, 11304 MiB, 12288 MiB, 59, 123.08 W
