timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 17:00:18.231, 9 %, 5 %, 5912 MiB, 12288 MiB, 40, 14.40 W
2026/01/19 17:00:19.238, 3 %, 4 %, 5916 MiB, 12288 MiB, 40, 13.51 W
2026/01/19 17:00:20.244, 81 %, 63 %, 5923 MiB, 12288 MiB, 43, 14.72 W
2026/01/19 17:00:21.415, 81 %, 82 %, 5923 MiB, 12288 MiB, 48, 114.12 W
2026/01/19 17:00:22.423, 70 %, 70 %, 5922 MiB, 12288 MiB, 48, 117.55 W
2026/01/19 17:00:23.436, 84 %, 85 %, 5916 MiB, 12288 MiB, 49, 115.52 W
2026/01/19 17:00:24.449, 77 %, 77 %, 5916 MiB, 12288 MiB, 49, 116.84 W
2026/01/19 17:00:25.458, 77 %, 78 %, 5978 MiB, 12288 MiB, 50, 115.86 W
2026/01/19 17:00:26.480, 81 %, 81 %, 5978 MiB, 12288 MiB, 50, 116.55 W
2026/01/19 17:00:27.491, 74 %, 74 %, 5976 MiB, 12288 MiB, 51, 117.91 W
2026/01/19 17:00:28.501, 81 %, 81 %, 5967 MiB, 12288 MiB, 52, 119.89 W
2026/01/19 17:00:29.502, 85 %, 85 %, 5901 MiB, 12288 MiB, 52, 127.58 W
2026/01/19 17:00:30.503, 87 %, 88 %, 5899 MiB, 12288 MiB, 53, 128.10 W
2026/01/19 17:00:31.505, 85 %, 85 %, 5896 MiB, 12288 MiB, 54, 128.98 W
2026/01/19 17:00:32.506, 88 %, 89 %, 5895 MiB, 12288 MiB, 54, 127.73 W
2026/01/19 17:00:33.507, 88 %, 89 %, 5887 MiB, 12288 MiB, 55, 128.74 W
2026/01/19 17:00:34.508, 86 %, 86 %, 5896 MiB, 12288 MiB, 55, 126.60 W
2026/01/19 17:00:35.509, 82 %, 83 %, 5897 MiB, 12288 MiB, 55, 124.89 W
2026/01/19 17:00:36.510, 87 %, 88 %, 5897 MiB, 12288 MiB, 56, 129.41 W
