timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 17:19:27.299, 1 %, 0 %, 5932 MiB, 12288 MiB, 50, 13.16 W
2026/01/19 17:19:28.315, 0 %, 0 %, 5931 MiB, 12288 MiB, 50, 13.36 W
2026/01/19 17:19:29.325, 98 %, 75 %, 5882 MiB, 12288 MiB, 54, 22.78 W
2026/01/19 17:19:30.333, 88 %, 77 %, 5867 MiB, 12288 MiB, 57, 119.03 W
2026/01/19 17:19:31.372, 88 %, 77 %, 5868 MiB, 12288 MiB, 57, 124.93 W
2026/01/19 17:19:32.377, 87 %, 76 %, 5930 MiB, 12288 MiB, 57, 124.32 W
2026/01/19 17:19:33.383, 83 %, 73 %, 5930 MiB, 12288 MiB, 57, 122.85 W
2026/01/19 17:19:34.384, 88 %, 76 %, 5929 MiB, 12288 MiB, 58, 124.61 W
2026/01/19 17:19:35.392, 83 %, 72 %, 5929 MiB, 12288 MiB, 57, 123.91 W
2026/01/19 17:19:36.393, 85 %, 74 %, 5881 MiB, 12288 MiB, 58, 124.58 W
2026/01/19 17:19:37.394, 89 %, 77 %, 5929 MiB, 12288 MiB, 58, 124.61 W
2026/01/19 17:19:38.395, 88 %, 77 %, 5929 MiB, 12288 MiB, 58, 125.12 W
2026/01/19 17:19:39.396, 85 %, 73 %, 5927 MiB, 12288 MiB, 58, 122.56 W
2026/01/19 17:19:40.397, 84 %, 73 %, 5927 MiB, 12288 MiB, 58, 122.55 W
2026/01/19 17:19:41.398, 83 %, 73 %, 5927 MiB, 12288 MiB, 57, 123.24 W
2026/01/19 17:19:42.399, 83 %, 72 %, 5927 MiB, 12288 MiB, 58, 122.85 W
2026/01/19 17:19:43.419, 89 %, 78 %, 5928 MiB, 12288 MiB, 58, 124.96 W
2026/01/19 17:19:44.425, 87 %, 77 %, 5928 MiB, 12288 MiB, 58, 124.89 W
2026/01/19 17:19:45.430, 82 %, 62 %, 5928 MiB, 12288 MiB, 58, 124.89 W
2026/01/19 17:19:46.436, 86 %, 76 %, 5866 MiB, 12288 MiB, 58, 126.63 W
2026/01/19 17:19:47.441, 85 %, 73 %, 5928 MiB, 12288 MiB, 58, 125.48 W
2026/01/19 17:19:48.449, 89 %, 78 %, 5928 MiB, 12288 MiB, 58, 126.58 W
2026/01/19 17:19:49.454, 88 %, 78 %, 5927 MiB, 12288 MiB, 58, 126.31 W
2026/01/19 17:19:50.459, 89 %, 77 %, 5927 MiB, 12288 MiB, 58, 126.10 W
2026/01/19 17:19:51.472, 85 %, 75 %, 5927 MiB, 12288 MiB, 58, 125.04 W
2026/01/19 17:19:52.477, 81 %, 72 %, 5927 MiB, 12288 MiB, 59, 123.97 W
2026/01/19 17:19:53.482, 88 %, 67 %, 5927 MiB, 12288 MiB, 59, 126.39 W
2026/01/19 17:19:54.549, 86 %, 76 %, 5927 MiB, 12288 MiB, 59, 124.74 W
2026/01/19 17:19:55.556, 89 %, 77 %, 5927 MiB, 12288 MiB, 58, 124.54 W
2026/01/19 17:19:56.567, 87 %, 76 %, 5867 MiB, 12288 MiB, 59, 125.74 W
2026/01/19 17:19:57.580, 87 %, 77 %, 5927 MiB, 12288 MiB, 59, 126.29 W
2026/01/19 17:19:58.589, 83 %, 72 %, 5927 MiB, 12288 MiB, 59, 124.74 W
2026/01/19 17:19:59.596, 84 %, 74 %, 5927 MiB, 12288 MiB, 59, 122.49 W
2026/01/19 17:20:00.598, 88 %, 77 %, 5927 MiB, 12288 MiB, 58, 123.35 W
2026/01/19 17:20:01.600, 88 %, 72 %, 5927 MiB, 12288 MiB, 59, 124.75 W
2026/01/19 17:20:02.601, 87 %, 77 %, 5927 MiB, 12288 MiB, 59, 122.73 W
2026/01/19 17:20:03.602, 88 %, 76 %, 5927 MiB, 12288 MiB, 59, 124.28 W
