timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 17:04:42.448, 0 %, 3 %, 5902 MiB, 12288 MiB, 46, 13.85 W
2026/01/19 17:04:43.450, 0 %, 3 %, 5898 MiB, 12288 MiB, 46, 14.08 W
2026/01/19 17:04:44.451, 99 %, 77 %, 5890 MiB, 12288 MiB, 46, 16.74 W
2026/01/19 17:04:45.466, 85 %, 65 %, 5895 MiB, 12288 MiB, 52, 106.67 W
2026/01/19 17:04:46.466, 84 %, 74 %, 5906 MiB, 12288 MiB, 53, 122.81 W
2026/01/19 17:04:47.467, 82 %, 72 %, 5906 MiB, 12288 MiB, 53, 124.86 W
2026/01/19 17:04:48.468, 85 %, 75 %, 5904 MiB, 12288 MiB, 54, 126.59 W
2026/01/19 17:04:49.470, 85 %, 75 %, 5903 MiB, 12288 MiB, 54, 125.61 W
2026/01/19 17:04:50.471, 87 %, 68 %, 5894 MiB, 12288 MiB, 54, 126.18 W
2026/01/19 17:04:51.472, 86 %, 76 %, 5897 MiB, 12288 MiB, 54, 124.98 W
2026/01/19 17:04:52.561, 81 %, 71 %, 5894 MiB, 12288 MiB, 54, 124.67 W
2026/01/19 17:04:53.563, 87 %, 68 %, 5894 MiB, 12288 MiB, 55, 126.76 W
2026/01/19 17:04:54.571, 87 %, 76 %, 5894 MiB, 12288 MiB, 55, 126.02 W
2026/01/19 17:04:55.586, 81 %, 71 %, 5887 MiB, 12288 MiB, 55, 123.55 W
2026/01/19 17:04:56.590, 0 %, 0 %, 5884 MiB, 12288 MiB, 51, 102.04 W
2026/01/19 17:04:57.593, 0 %, 0 %, 5883 MiB, 12288 MiB, 50, 45.70 W
2026/01/19 17:04:58.595, 0 %, 0 %, 5883 MiB, 12288 MiB, 48, 39.10 W
