timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 19:13:10.732, 2 %, 18 %, 11361 MiB, 12288 MiB, 44, 13.77 W
2026/01/19 19:13:11.737, 2 %, 30 %, 11367 MiB, 12288 MiB, 43, 14.20 W
2026/01/19 19:13:12.740, 98 %, 74 %, 11367 MiB, 12288 MiB, 43, 22.35 W
2026/01/19 19:13:13.742, 88 %, 63 %, 11367 MiB, 12288 MiB, 50, 115.48 W
2026/01/19 19:13:14.745, 79 %, 69 %, 11367 MiB, 12288 MiB, 51, 118.84 W
2026/01/19 19:13:15.746, 84 %, 73 %, 11367 MiB, 12288 MiB, 51, 123.09 W
2026/01/19 19:13:16.747, 85 %, 72 %, 11367 MiB, 12288 MiB, 52, 122.83 W
2026/01/19 19:13:17.748, 84 %, 59 %, 11367 MiB, 12288 MiB, 52, 120.66 W
2026/01/19 19:13:18.749, 83 %, 71 %, 11371 MiB, 12288 MiB, 52, 122.14 W
2026/01/19 19:13:19.750, 86 %, 75 %, 11369 MiB, 12288 MiB, 52, 123.95 W
2026/01/19 19:13:20.760, 84 %, 73 %, 11368 MiB, 12288 MiB, 53, 124.91 W
2026/01/19 19:13:21.773, 86 %, 64 %, 11364 MiB, 12288 MiB, 53, 124.51 W
2026/01/19 19:13:22.791, 0 %, 0 %, 11363 MiB, 12288 MiB, 48, 77.51 W
2026/01/19 19:13:23.809, 0 %, 0 %, 11363 MiB, 12288 MiB, 47, 44.63 W
2026/01/19 19:13:24.825, 9 %, 1 %, 11373 MiB, 12288 MiB, 45, 32.89 W
