timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 17:04:15.244, 4 %, 6 %, 5899 MiB, 12288 MiB, 47, 14.90 W
2026/01/19 17:04:16.251, 3 %, 12 %, 5927 MiB, 12288 MiB, 47, 14.74 W
2026/01/19 17:04:17.257, 99 %, 78 %, 5927 MiB, 12288 MiB, 47, 16.99 W
2026/01/19 17:04:18.274, 79 %, 69 %, 5922 MiB, 12288 MiB, 53, 104.97 W
2026/01/19 17:04:19.276, 86 %, 75 %, 5919 MiB, 12288 MiB, 54, 122.54 W
2026/01/19 17:04:20.277, 87 %, 68 %, 5910 MiB, 12288 MiB, 54, 119.89 W
2026/01/19 17:04:21.278, 84 %, 73 %, 5917 MiB, 12288 MiB, 54, 121.65 W
2026/01/19 17:04:22.352, 79 %, 68 %, 5913 MiB, 12288 MiB, 55, 120.70 W
2026/01/19 17:04:23.352, 85 %, 72 %, 5902 MiB, 12288 MiB, 55, 118.64 W
2026/01/19 17:04:24.361, 80 %, 69 %, 5893 MiB, 12288 MiB, 55, 120.43 W
2026/01/19 17:04:25.367, 86 %, 64 %, 5893 MiB, 12288 MiB, 55, 121.57 W
2026/01/19 17:04:26.372, 87 %, 75 %, 5903 MiB, 12288 MiB, 55, 121.35 W
2026/01/19 17:04:27.376, 88 %, 76 %, 5897 MiB, 12288 MiB, 55, 121.27 W
2026/01/19 17:04:28.384, 89 %, 71 %, 5895 MiB, 12288 MiB, 56, 120.16 W
2026/01/19 17:04:29.386, 86 %, 76 %, 5895 MiB, 12288 MiB, 56, 123.97 W
2026/01/19 17:04:30.387, 86 %, 65 %, 5886 MiB, 12288 MiB, 55, 124.53 W
2026/01/19 17:04:31.398, 88 %, 77 %, 5897 MiB, 12288 MiB, 56, 123.71 W
2026/01/19 17:04:32.399, 83 %, 68 %, 5898 MiB, 12288 MiB, 56, 123.47 W
2026/01/19 17:04:33.400, 87 %, 77 %, 5897 MiB, 12288 MiB, 56, 124.04 W
2026/01/19 17:04:34.401, 81 %, 70 %, 5890 MiB, 12288 MiB, 56, 120.87 W
2026/01/19 17:04:35.402, 1 %, 0 %, 5890 MiB, 12288 MiB, 51, 53.27 W
2026/01/19 17:04:36.403, 0 %, 0 %, 5900 MiB, 12288 MiB, 51, 44.59 W
2026/01/19 17:04:37.404, 0 %, 0 %, 5900 MiB, 12288 MiB, 49, 27.21 W
