timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 19:12:48.542, 17 %, 9 %, 11379 MiB, 12288 MiB, 45, 15.72 W
2026/01/19 19:12:49.543, 18 %, 9 %, 11368 MiB, 12288 MiB, 45, 15.80 W
2026/01/19 19:12:50.545, 94 %, 67 %, 11385 MiB, 12288 MiB, 45, 21.90 W
2026/01/19 19:12:51.545, 88 %, 70 %, 11394 MiB, 12288 MiB, 52, 117.67 W
2026/01/19 19:12:52.546, 87 %, 76 %, 11404 MiB, 12288 MiB, 53, 124.60 W
2026/01/19 19:12:53.547, 88 %, 71 %, 11402 MiB, 12288 MiB, 53, 123.99 W
2026/01/19 19:12:54.548, 87 %, 76 %, 11401 MiB, 12288 MiB, 53, 124.22 W
2026/01/19 19:12:55.570, 87 %, 76 %, 11400 MiB, 12288 MiB, 53, 122.73 W
2026/01/19 19:12:56.571, 89 %, 66 %, 11406 MiB, 12288 MiB, 54, 124.57 W
2026/01/19 19:12:57.572, 80 %, 70 %, 11408 MiB, 12288 MiB, 53, 121.97 W
2026/01/19 19:12:58.573, 84 %, 73 %, 11404 MiB, 12288 MiB, 54, 122.35 W
2026/01/19 19:12:59.574, 87 %, 71 %, 11404 MiB, 12288 MiB, 54, 123.16 W
2026/01/19 19:13:00.575, 85 %, 74 %, 11413 MiB, 12288 MiB, 54, 122.15 W
2026/01/19 19:13:01.576, 81 %, 69 %, 11419 MiB, 12288 MiB, 53, 121.33 W
2026/01/19 19:13:02.577, 85 %, 75 %, 11387 MiB, 12288 MiB, 51, 115.08 W
2026/01/19 19:13:03.578, 0 %, 0 %, 11374 MiB, 12288 MiB, 49, 46.32 W
2026/01/19 19:13:04.579, 0 %, 0 %, 11373 MiB, 12288 MiB, 47, 41.38 W
2026/01/19 19:13:05.579, 1 %, 0 %, 11372 MiB, 12288 MiB, 46, 26.61 W
