timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 17:12:56.289, 13 %, 13 %, 5980 MiB, 12288 MiB, 52, 15.51 W
2026/01/19 17:12:57.296, 2 %, 18 %, 5979 MiB, 12288 MiB, 51, 15.46 W
2026/01/19 17:12:58.301, 100 %, 70 %, 5975 MiB, 12288 MiB, 51, 29.23 W
2026/01/19 17:12:59.304, 88 %, 79 %, 5974 MiB, 12288 MiB, 57, 116.59 W
2026/01/19 17:13:00.307, 87 %, 75 %, 5983 MiB, 12288 MiB, 58, 119.78 W
2026/01/19 17:13:01.309, 84 %, 74 %, 5910 MiB, 12288 MiB, 58, 119.62 W
2026/01/19 17:13:02.310, 85 %, 74 %, 5916 MiB, 12288 MiB, 58, 119.30 W
2026/01/19 17:13:03.311, 85 %, 73 %, 5975 MiB, 12288 MiB, 58, 119.56 W
2026/01/19 17:13:04.316, 82 %, 72 %, 5971 MiB, 12288 MiB, 58, 120.83 W
2026/01/19 17:13:05.317, 86 %, 74 %, 5969 MiB, 12288 MiB, 58, 118.93 W
2026/01/19 17:13:06.323, 84 %, 74 %, 5979 MiB, 12288 MiB, 59, 120.15 W
2026/01/19 17:13:07.335, 85 %, 76 %, 5979 MiB, 12288 MiB, 58, 122.55 W
2026/01/19 17:13:08.340, 87 %, 76 %, 5929 MiB, 12288 MiB, 58, 122.97 W
2026/01/19 17:13:09.346, 88 %, 78 %, 5928 MiB, 12288 MiB, 59, 122.30 W
2026/01/19 17:13:10.351, 87 %, 78 %, 5927 MiB, 12288 MiB, 58, 121.38 W
2026/01/19 17:13:11.352, 84 %, 73 %, 5927 MiB, 12288 MiB, 59, 122.73 W
2026/01/19 17:13:12.353, 89 %, 77 %, 5903 MiB, 12288 MiB, 58, 119.91 W
2026/01/19 17:13:13.354, 82 %, 72 %, 5904 MiB, 12288 MiB, 59, 119.96 W
2026/01/19 17:13:14.355, 81 %, 72 %, 5904 MiB, 12288 MiB, 58, 120.84 W
2026/01/19 17:13:15.356, 84 %, 74 %, 5911 MiB, 12288 MiB, 59, 119.64 W
2026/01/19 17:13:16.357, 77 %, 68 %, 5910 MiB, 12288 MiB, 59, 117.30 W
2026/01/19 17:13:17.358, 86 %, 77 %, 5910 MiB, 12288 MiB, 59, 120.29 W
2026/01/19 17:13:18.359, 86 %, 76 %, 5910 MiB, 12288 MiB, 59, 122.41 W
2026/01/19 17:13:19.360, 85 %, 75 %, 5901 MiB, 12288 MiB, 59, 122.37 W
2026/01/19 17:13:20.369, 85 %, 74 %, 5905 MiB, 12288 MiB, 59, 120.72 W
2026/01/19 17:13:21.370, 86 %, 75 %, 5905 MiB, 12288 MiB, 59, 121.68 W
2026/01/19 17:13:22.371, 86 %, 77 %, 5905 MiB, 12288 MiB, 59, 122.05 W
2026/01/19 17:13:23.452, 85 %, 75 %, 5905 MiB, 12288 MiB, 59, 121.47 W
2026/01/19 17:13:24.453, 84 %, 73 %, 5911 MiB, 12288 MiB, 59, 120.96 W
2026/01/19 17:13:25.460, 82 %, 73 %, 5911 MiB, 12288 MiB, 59, 122.49 W
2026/01/19 17:13:26.466, 89 %, 76 %, 5900 MiB, 12288 MiB, 59, 120.57 W
2026/01/19 17:13:27.471, 86 %, 75 %, 5898 MiB, 12288 MiB, 59, 120.07 W
2026/01/19 17:13:28.475, 82 %, 73 %, 5898 MiB, 12288 MiB, 59, 119.57 W
2026/01/19 17:13:29.485, 89 %, 78 %, 5898 MiB, 12288 MiB, 59, 123.59 W
2026/01/19 17:13:30.488, 89 %, 79 %, 5893 MiB, 12288 MiB, 59, 124.50 W
2026/01/19 17:13:31.494, 88 %, 78 %, 5893 MiB, 12288 MiB, 59, 124.40 W
2026/01/19 17:13:32.503, 89 %, 79 %, 5893 MiB, 12288 MiB, 59, 125.20 W
2026/01/19 17:13:33.509, 89 %, 79 %, 5893 MiB, 12288 MiB, 59, 124.76 W
2026/01/19 17:13:34.510, 86 %, 72 %, 5893 MiB, 12288 MiB, 59, 124.71 W
2026/01/19 17:13:35.511, 88 %, 79 %, 5887 MiB, 12288 MiB, 59, 122.11 W
2026/01/19 17:13:36.512, 89 %, 78 %, 5887 MiB, 12288 MiB, 59, 124.00 W
2026/01/19 17:13:37.513, 88 %, 78 %, 5887 MiB, 12288 MiB, 59, 124.92 W
2026/01/19 17:13:38.521, 89 %, 79 %, 5887 MiB, 12288 MiB, 60, 124.30 W
2026/01/19 17:13:39.522, 86 %, 74 %, 5887 MiB, 12288 MiB, 59, 123.66 W
2026/01/19 17:13:40.523, 86 %, 76 %, 5887 MiB, 12288 MiB, 60, 123.53 W
2026/01/19 17:13:41.524, 88 %, 77 %, 5887 MiB, 12288 MiB, 60, 124.63 W
2026/01/19 17:13:42.525, 89 %, 79 %, 5887 MiB, 12288 MiB, 60, 123.60 W
2026/01/19 17:13:43.526, 89 %, 79 %, 5887 MiB, 12288 MiB, 60, 124.28 W
2026/01/19 17:13:44.526, 88 %, 76 %, 5887 MiB, 12288 MiB, 60, 125.02 W
2026/01/19 17:13:45.527, 88 %, 79 %, 5887 MiB, 12288 MiB, 60, 124.43 W
2026/01/19 17:13:46.528, 89 %, 78 %, 5887 MiB, 12288 MiB, 60, 124.21 W
2026/01/19 17:13:47.529, 88 %, 78 %, 5887 MiB, 12288 MiB, 60, 125.01 W
2026/01/19 17:13:48.531, 89 %, 79 %, 5887 MiB, 12288 MiB, 60, 125.90 W
2026/01/19 17:13:49.531, 87 %, 75 %, 5887 MiB, 12288 MiB, 60, 123.75 W
2026/01/19 17:13:50.532, 89 %, 80 %, 5887 MiB, 12288 MiB, 60, 124.62 W
2026/01/19 17:13:51.534, 87 %, 76 %, 5887 MiB, 12288 MiB, 60, 124.40 W
2026/01/19 17:13:52.535, 83 %, 74 %, 5887 MiB, 12288 MiB, 59, 122.61 W
2026/01/19 17:13:53.620, 90 %, 80 %, 5887 MiB, 12288 MiB, 60, 124.46 W
2026/01/19 17:13:54.629, 88 %, 75 %, 5887 MiB, 12288 MiB, 60, 123.82 W
2026/01/19 17:13:55.641, 87 %, 77 %, 5887 MiB, 12288 MiB, 60, 122.96 W
2026/01/19 17:13:56.652, 87 %, 77 %, 5887 MiB, 12288 MiB, 60, 124.83 W
2026/01/19 17:13:57.662, 88 %, 78 %, 5887 MiB, 12288 MiB, 60, 124.58 W
2026/01/19 17:13:58.665, 86 %, 76 %, 5887 MiB, 12288 MiB, 60, 124.79 W
2026/01/19 17:13:59.667, 87 %, 77 %, 5887 MiB, 12288 MiB, 60, 121.81 W
2026/01/19 17:14:00.669, 84 %, 74 %, 5887 MiB, 12288 MiB, 60, 122.19 W
2026/01/19 17:14:01.670, 87 %, 77 %, 5888 MiB, 12288 MiB, 60, 120.11 W
2026/01/19 17:14:02.671, 88 %, 79 %, 5888 MiB, 12288 MiB, 60, 122.46 W
2026/01/19 17:14:03.672, 82 %, 73 %, 5888 MiB, 12288 MiB, 60, 120.78 W
2026/01/19 17:14:04.673, 89 %, 78 %, 5894 MiB, 12288 MiB, 60, 120.84 W
2026/01/19 17:14:05.674, 77 %, 68 %, 5894 MiB, 12288 MiB, 60, 121.36 W
2026/01/19 17:14:06.675, 88 %, 77 %, 5894 MiB, 12288 MiB, 60, 123.00 W
2026/01/19 17:14:07.678, 79 %, 70 %, 5894 MiB, 12288 MiB, 60, 121.00 W
2026/01/19 17:14:08.679, 87 %, 77 %, 5886 MiB, 12288 MiB, 60, 121.04 W
2026/01/19 17:14:09.680, 87 %, 75 %, 5950 MiB, 12288 MiB, 60, 119.86 W
2026/01/19 17:14:10.681, 81 %, 72 %, 5950 MiB, 12288 MiB, 60, 122.36 W
2026/01/19 17:14:11.682, 84 %, 75 %, 5950 MiB, 12288 MiB, 60, 122.27 W
2026/01/19 17:14:12.683, 86 %, 72 %, 5935 MiB, 12288 MiB, 60, 121.93 W
2026/01/19 17:14:13.689, 87 %, 78 %, 5878 MiB, 12288 MiB, 60, 123.87 W
2026/01/19 17:14:14.690, 84 %, 74 %, 5878 MiB, 12288 MiB, 60, 123.09 W
2026/01/19 17:14:15.691, 89 %, 79 %, 5889 MiB, 12288 MiB, 60, 122.98 W
2026/01/19 17:14:16.693, 85 %, 75 %, 5888 MiB, 12288 MiB, 60, 123.17 W
2026/01/19 17:14:17.694, 82 %, 70 %, 5886 MiB, 12288 MiB, 60, 122.21 W
2026/01/19 17:14:18.694, 89 %, 78 %, 5888 MiB, 12288 MiB, 60, 120.59 W
2026/01/19 17:14:19.696, 86 %, 75 %, 5916 MiB, 12288 MiB, 60, 118.49 W
2026/01/19 17:14:20.701, 88 %, 78 %, 5916 MiB, 12288 MiB, 60, 124.02 W
2026/01/19 17:14:21.702, 89 %, 79 %, 5914 MiB, 12288 MiB, 60, 125.56 W
2026/01/19 17:14:22.703, 89 %, 79 %, 5910 MiB, 12288 MiB, 60, 123.84 W
2026/01/19 17:14:23.781, 88 %, 78 %, 5902 MiB, 12288 MiB, 60, 124.95 W
2026/01/19 17:14:24.787, 80 %, 68 %, 5904 MiB, 12288 MiB, 59, 120.55 W
2026/01/19 17:14:25.794, 83 %, 71 %, 5919 MiB, 12288 MiB, 59, 120.71 W
2026/01/19 17:14:26.800, 87 %, 77 %, 5919 MiB, 12288 MiB, 60, 120.70 W
2026/01/19 17:14:27.804, 82 %, 72 %, 5919 MiB, 12288 MiB, 60, 119.16 W
2026/01/19 17:14:28.807, 81 %, 72 %, 5910 MiB, 12288 MiB, 60, 119.98 W
2026/01/19 17:14:29.810, 83 %, 74 %, 5909 MiB, 12288 MiB, 60, 118.41 W
2026/01/19 17:14:30.827, 85 %, 75 %, 5967 MiB, 12288 MiB, 60, 122.18 W
2026/01/19 17:14:31.828, 85 %, 75 %, 5964 MiB, 12288 MiB, 59, 121.42 W
2026/01/19 17:14:32.829, 86 %, 75 %, 5914 MiB, 12288 MiB, 60, 122.08 W
2026/01/19 17:14:33.830, 88 %, 78 %, 5916 MiB, 12288 MiB, 60, 123.72 W
2026/01/19 17:14:34.831, 83 %, 74 %, 5907 MiB, 12288 MiB, 60, 123.96 W
2026/01/19 17:14:35.833, 82 %, 71 %, 5954 MiB, 12288 MiB, 60, 120.64 W
2026/01/19 17:14:36.834, 82 %, 73 %, 5952 MiB, 12288 MiB, 60, 122.53 W
2026/01/19 17:14:37.834, 88 %, 78 %, 5898 MiB, 12288 MiB, 60, 123.77 W
2026/01/19 17:14:38.835, 88 %, 78 %, 5895 MiB, 12288 MiB, 60, 122.85 W
2026/01/19 17:14:39.836, 82 %, 72 %, 5888 MiB, 12288 MiB, 60, 120.82 W
2026/01/19 17:14:40.837, 89 %, 78 %, 5878 MiB, 12288 MiB, 60, 123.62 W
2026/01/19 17:14:41.838, 87 %, 77 %, 5879 MiB, 12288 MiB, 60, 122.81 W
2026/01/19 17:14:42.839, 88 %, 76 %, 5881 MiB, 12288 MiB, 60, 118.50 W
2026/01/19 17:14:43.841, 90 %, 78 %, 5858 MiB, 12288 MiB, 60, 122.50 W
2026/01/19 17:14:44.841, 86 %, 75 %, 5858 MiB, 12288 MiB, 60, 122.77 W
2026/01/19 17:14:45.842, 89 %, 77 %, 5930 MiB, 12288 MiB, 60, 120.95 W
2026/01/19 17:14:46.843, 89 %, 77 %, 5930 MiB, 12288 MiB, 60, 122.13 W
2026/01/19 17:14:47.844, 81 %, 72 %, 5930 MiB, 12288 MiB, 60, 121.35 W
2026/01/19 17:14:48.853, 83 %, 72 %, 5930 MiB, 12288 MiB, 60, 122.77 W
2026/01/19 17:14:49.854, 82 %, 73 %, 5928 MiB, 12288 MiB, 60, 121.44 W
2026/01/19 17:14:50.856, 78 %, 68 %, 5928 MiB, 12288 MiB, 59, 122.07 W
2026/01/19 17:14:51.857, 82 %, 73 %, 5928 MiB, 12288 MiB, 60, 121.07 W
2026/01/19 17:14:52.858, 87 %, 75 %, 5955 MiB, 12288 MiB, 60, 120.61 W
2026/01/19 17:14:53.937, 84 %, 74 %, 5955 MiB, 12288 MiB, 60, 120.54 W
2026/01/19 17:14:54.947, 89 %, 79 %, 5955 MiB, 12288 MiB, 60, 124.25 W
2026/01/19 17:14:55.965, 81 %, 71 %, 5894 MiB, 12288 MiB, 60, 121.89 W
2026/01/19 17:14:56.979, 83 %, 73 %, 5892 MiB, 12288 MiB, 60, 120.05 W
2026/01/19 17:14:57.992, 85 %, 75 %, 5892 MiB, 12288 MiB, 60, 122.81 W
2026/01/19 17:14:59.005, 89 %, 79 %, 5894 MiB, 12288 MiB, 60, 119.61 W
2026/01/19 17:15:00.019, 83 %, 74 %, 5894 MiB, 12288 MiB, 60, 124.28 W
2026/01/19 17:15:01.025, 87 %, 78 %, 5894 MiB, 12288 MiB, 60, 124.70 W
2026/01/19 17:15:02.032, 87 %, 76 %, 5894 MiB, 12288 MiB, 60, 124.49 W
2026/01/19 17:15:03.037, 89 %, 80 %, 5894 MiB, 12288 MiB, 60, 124.30 W
2026/01/19 17:15:04.044, 88 %, 78 %, 5893 MiB, 12288 MiB, 60, 124.68 W
2026/01/19 17:15:05.052, 88 %, 79 %, 5892 MiB, 12288 MiB, 60, 125.68 W
2026/01/19 17:15:06.059, 86 %, 76 %, 5882 MiB, 12288 MiB, 60, 124.94 W
2026/01/19 17:15:07.067, 85 %, 75 %, 5879 MiB, 12288 MiB, 60, 123.85 W
2026/01/19 17:15:08.073, 81 %, 72 %, 5877 MiB, 12288 MiB, 60, 123.33 W
2026/01/19 17:15:09.079, 87 %, 77 %, 5877 MiB, 12288 MiB, 60, 122.82 W
2026/01/19 17:15:10.094, 89 %, 79 %, 5877 MiB, 12288 MiB, 60, 125.00 W
2026/01/19 17:15:11.100, 89 %, 79 %, 5877 MiB, 12288 MiB, 60, 125.23 W
2026/01/19 17:15:12.106, 86 %, 77 %, 5877 MiB, 12288 MiB, 60, 125.18 W
2026/01/19 17:15:13.106, 89 %, 79 %, 5878 MiB, 12288 MiB, 60, 124.79 W
2026/01/19 17:15:14.108, 88 %, 77 %, 5878 MiB, 12288 MiB, 60, 125.14 W
2026/01/19 17:15:15.109, 88 %, 78 %, 5878 MiB, 12288 MiB, 60, 125.03 W
2026/01/19 17:15:16.110, 85 %, 73 %, 5944 MiB, 12288 MiB, 60, 121.83 W
2026/01/19 17:15:17.111, 86 %, 74 %, 5944 MiB, 12288 MiB, 60, 123.33 W
2026/01/19 17:15:18.112, 85 %, 74 %, 5859 MiB, 12288 MiB, 60, 122.67 W
2026/01/19 17:15:19.113, 86 %, 74 %, 5859 MiB, 12288 MiB, 60, 123.22 W
2026/01/19 17:15:20.114, 86 %, 75 %, 5859 MiB, 12288 MiB, 60, 122.35 W
2026/01/19 17:15:21.116, 88 %, 78 %, 5930 MiB, 12288 MiB, 60, 123.33 W
2026/01/19 17:15:22.134, 85 %, 74 %, 5930 MiB, 12288 MiB, 60, 123.97 W
2026/01/19 17:15:23.147, 86 %, 76 %, 5867 MiB, 12288 MiB, 60, 124.75 W
2026/01/19 17:15:24.239, 87 %, 76 %, 5867 MiB, 12288 MiB, 60, 125.19 W
2026/01/19 17:15:25.260, 89 %, 80 %, 5929 MiB, 12288 MiB, 60, 125.09 W
2026/01/19 17:15:26.274, 89 %, 79 %, 5929 MiB, 12288 MiB, 60, 125.97 W
2026/01/19 17:15:27.291, 80 %, 69 %, 5921 MiB, 12288 MiB, 59, 121.20 W
2026/01/19 17:15:28.331, 90 %, 80 %, 5923 MiB, 12288 MiB, 60, 120.71 W
2026/01/19 17:15:29.342, 88 %, 78 %, 5873 MiB, 12288 MiB, 60, 126.02 W
2026/01/19 17:15:30.355, 88 %, 78 %, 5882 MiB, 12288 MiB, 60, 124.50 W
2026/01/19 17:15:31.366, 87 %, 78 %, 5882 MiB, 12288 MiB, 60, 123.43 W
2026/01/19 17:15:32.375, 81 %, 71 %, 5943 MiB, 12288 MiB, 60, 121.35 W
2026/01/19 17:15:33.388, 88 %, 78 %, 5930 MiB, 12288 MiB, 60, 121.85 W
2026/01/19 17:15:34.409, 88 %, 77 %, 5940 MiB, 12288 MiB, 60, 123.20 W
2026/01/19 17:15:35.419, 89 %, 79 %, 5892 MiB, 12288 MiB, 60, 124.91 W
