timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/20 17:55:01.158, 84 %, 75 %, 11337 MiB, 12288 MiB, 58, 120.10 W
2026/01/20 17:55:02.160, 88 %, 78 %, 11329 MiB, 12288 MiB, 58, 118.33 W
2026/01/20 17:55:03.764, 85 %, 67 %, 11329 MiB, 12288 MiB, 58, 121.86 W
2026/01/20 17:55:04.765, 85 %, 75 %, 11329 MiB, 12288 MiB, 58, 121.13 W
2026/01/20 17:55:05.766, 86 %, 75 %, 11329 MiB, 12288 MiB, 58, 123.83 W
2026/01/20 17:55:06.778, 82 %, 73 %, 11329 MiB, 12288 MiB, 58, 121.49 W
2026/01/20 17:55:07.779, 78 %, 69 %, 11329 MiB, 12288 MiB, 58, 121.93 W
2026/01/20 17:55:08.780, 85 %, 74 %, 11329 MiB, 12288 MiB, 58, 122.51 W
2026/01/20 17:55:09.781, 83 %, 74 %, 11329 MiB, 12288 MiB, 58, 122.32 W
2026/01/20 17:55:10.782, 84 %, 75 %, 11329 MiB, 12288 MiB, 58, 123.61 W
2026/01/20 17:55:11.783, 87 %, 75 %, 11332 MiB, 12288 MiB, 58, 122.09 W
2026/01/20 17:55:12.784, 84 %, 74 %, 11332 MiB, 12288 MiB, 58, 123.32 W
2026/01/20 17:55:13.785, 80 %, 71 %, 11335 MiB, 12288 MiB, 58, 120.34 W
2026/01/20 17:55:14.787, 83 %, 65 %, 11336 MiB, 12288 MiB, 58, 120.57 W
2026/01/20 17:55:15.796, 84 %, 74 %, 11335 MiB, 12288 MiB, 58, 121.92 W
2026/01/20 17:55:16.797, 83 %, 72 %, 11273 MiB, 12288 MiB, 58, 120.24 W
2026/01/20 17:55:17.800, 84 %, 75 %, 11273 MiB, 12288 MiB, 58, 121.83 W
2026/01/20 17:55:18.801, 84 %, 74 %, 11272 MiB, 12288 MiB, 58, 122.71 W
2026/01/20 17:55:19.813, 80 %, 70 %, 11272 MiB, 12288 MiB, 58, 122.54 W
2026/01/20 17:55:20.822, 85 %, 76 %, 11272 MiB, 12288 MiB, 58, 122.01 W
2026/01/20 17:55:21.823, 81 %, 72 %, 11272 MiB, 12288 MiB, 58, 121.82 W
2026/01/20 17:55:22.824, 82 %, 71 %, 11272 MiB, 12288 MiB, 58, 119.58 W
2026/01/20 17:55:23.830, 78 %, 69 %, 11272 MiB, 12288 MiB, 58, 122.53 W
2026/01/20 17:55:24.831, 86 %, 74 %, 11272 MiB, 12288 MiB, 58, 122.86 W
2026/01/20 17:55:25.835, 86 %, 76 %, 11272 MiB, 12288 MiB, 58, 124.79 W
2026/01/20 17:55:26.836, 85 %, 75 %, 11271 MiB, 12288 MiB, 58, 123.75 W
2026/01/20 17:55:27.848, 85 %, 74 %, 11271 MiB, 12288 MiB, 58, 123.94 W
2026/01/20 17:55:28.849, 85 %, 75 %, 11271 MiB, 12288 MiB, 58, 123.85 W
2026/01/20 17:55:29.850, 84 %, 74 %, 11271 MiB, 12288 MiB, 58, 123.77 W
2026/01/20 17:55:30.851, 87 %, 76 %, 11271 MiB, 12288 MiB, 58, 123.42 W
2026/01/20 17:55:31.853, 87 %, 78 %, 11271 MiB, 12288 MiB, 58, 125.84 W
2026/01/20 17:55:32.854, 73 %, 65 %, 11271 MiB, 12288 MiB, 58, 119.18 W
2026/01/20 17:55:34.445, 83 %, 72 %, 11336 MiB, 12288 MiB, 58, 120.56 W
