timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 19:20:52.861, 2 %, 4 %, 11357 MiB, 12288 MiB, 52, 14.61 W
2026/01/19 19:20:53.868, 12 %, 7 %, 11359 MiB, 12288 MiB, 52, 15.42 W
2026/01/19 19:20:54.869, 100 %, 73 %, 11357 MiB, 12288 MiB, 54, 16.52 W
2026/01/19 19:20:55.942, 83 %, 72 %, 11370 MiB, 12288 MiB, 57, 104.61 W
2026/01/19 19:20:56.943, 87 %, 76 %, 11370 MiB, 12288 MiB, 58, 121.77 W
2026/01/19 19:20:57.944, 80 %, 71 %, 11369 MiB, 12288 MiB, 58, 121.46 W
2026/01/19 19:20:58.945, 87 %, 72 %, 11407 MiB, 12288 MiB, 58, 119.79 W
2026/01/19 19:20:59.946, 86 %, 76 %, 11404 MiB, 12288 MiB, 58, 122.26 W
2026/01/19 19:21:00.947, 89 %, 79 %, 11403 MiB, 12288 MiB, 59, 124.04 W
2026/01/19 19:21:01.948, 87 %, 77 %, 11380 MiB, 12288 MiB, 59, 122.96 W
2026/01/19 19:21:02.949, 90 %, 78 %, 11399 MiB, 12288 MiB, 59, 121.92 W
2026/01/19 19:21:03.950, 84 %, 74 %, 11399 MiB, 12288 MiB, 59, 122.72 W
2026/01/19 19:21:04.955, 89 %, 78 %, 11399 MiB, 12288 MiB, 59, 123.46 W
2026/01/19 19:21:05.961, 89 %, 79 %, 11399 MiB, 12288 MiB, 59, 124.22 W
2026/01/19 19:21:07.002, 89 %, 79 %, 11401 MiB, 12288 MiB, 59, 123.53 W
2026/01/19 19:21:08.016, 82 %, 70 %, 11400 MiB, 12288 MiB, 59, 120.33 W
2026/01/19 19:21:09.032, 88 %, 76 %, 11401 MiB, 12288 MiB, 59, 123.61 W
2026/01/19 19:21:10.042, 88 %, 78 %, 11405 MiB, 12288 MiB, 59, 122.07 W
2026/01/19 19:21:11.052, 87 %, 77 %, 11405 MiB, 12288 MiB, 59, 124.17 W
2026/01/19 19:21:12.061, 84 %, 75 %, 11417 MiB, 12288 MiB, 59, 122.81 W
2026/01/19 19:21:13.069, 86 %, 72 %, 11417 MiB, 12288 MiB, 59, 123.58 W
2026/01/19 19:21:14.076, 86 %, 77 %, 11417 MiB, 12288 MiB, 59, 121.83 W
2026/01/19 19:21:15.085, 88 %, 78 %, 11417 MiB, 12288 MiB, 59, 122.46 W
2026/01/19 19:21:16.090, 87 %, 78 %, 11417 MiB, 12288 MiB, 59, 123.50 W
