timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 22:02:02.988, 8 %, 22 %, 11503 MiB, 12288 MiB, 37, 13.22 W
2026/01/19 22:02:03.995, 3 %, 18 %, 11503 MiB, 12288 MiB, 37, 13.32 W
2026/01/19 22:02:04.996, 11 %, 16 %, 11517 MiB, 12288 MiB, 37, 12.88 W
2026/01/19 22:02:05.998, 74 %, 74 %, 11517 MiB, 12288 MiB, 40, 46.02 W
2026/01/19 22:02:07.000, 83 %, 83 %, 11517 MiB, 12288 MiB, 44, 118.94 W
2026/01/19 22:02:08.001, 82 %, 82 %, 11511 MiB, 12288 MiB, 46, 122.55 W
2026/01/19 22:02:09.002, 79 %, 79 %, 11503 MiB, 12288 MiB, 45, 112.54 W
2026/01/19 22:02:10.003, 71 %, 71 %, 11514 MiB, 12288 MiB, 47, 118.49 W
2026/01/19 22:02:11.004, 80 %, 80 %, 11513 MiB, 12288 MiB, 47, 113.51 W
2026/01/19 22:02:12.005, 76 %, 77 %, 11512 MiB, 12288 MiB, 47, 115.72 W
2026/01/19 22:02:13.006, 84 %, 84 %, 11510 MiB, 12288 MiB, 48, 122.05 W
2026/01/19 22:02:14.007, 84 %, 85 %, 11502 MiB, 12288 MiB, 49, 122.60 W
2026/01/19 22:02:15.008, 85 %, 85 %, 11512 MiB, 12288 MiB, 49, 122.57 W
2026/01/19 22:02:16.009, 78 %, 78 %, 11512 MiB, 12288 MiB, 49, 121.52 W
2026/01/19 22:02:17.010, 82 %, 82 %, 11512 MiB, 12288 MiB, 50, 120.56 W
2026/01/19 22:02:18.016, 77 %, 77 %, 11502 MiB, 12288 MiB, 50, 119.66 W
2026/01/19 22:02:19.029, 83 %, 82 %, 11503 MiB, 12288 MiB, 51, 120.00 W
2026/01/19 22:02:20.035, 83 %, 81 %, 11580 MiB, 12288 MiB, 51, 119.56 W
2026/01/19 22:02:21.040, 85 %, 74 %, 11580 MiB, 12288 MiB, 51, 113.30 W
2026/01/19 22:02:22.098, 86 %, 73 %, 11580 MiB, 12288 MiB, 51, 115.41 W
2026/01/19 22:02:23.110, 83 %, 71 %, 11557 MiB, 12288 MiB, 51, 112.35 W
2026/01/19 22:02:24.120, 84 %, 73 %, 11523 MiB, 12288 MiB, 52, 114.94 W
2026/01/19 22:02:25.128, 84 %, 71 %, 11520 MiB, 12288 MiB, 52, 113.73 W
2026/01/19 22:02:26.134, 83 %, 72 %, 11511 MiB, 12288 MiB, 52, 112.11 W
2026/01/19 22:02:27.139, 69 %, 57 %, 11554 MiB, 12288 MiB, 52, 102.79 W
2026/01/19 22:02:28.144, 82 %, 71 %, 11533 MiB, 12288 MiB, 53, 111.27 W
2026/01/19 22:02:29.147, 86 %, 76 %, 11508 MiB, 12288 MiB, 53, 116.87 W
2026/01/19 22:02:30.149, 83 %, 73 %, 11509 MiB, 12288 MiB, 54, 116.55 W
2026/01/19 22:02:31.154, 86 %, 77 %, 11505 MiB, 12288 MiB, 54, 117.72 W
2026/01/19 22:02:32.155, 82 %, 71 %, 11496 MiB, 12288 MiB, 54, 116.11 W
2026/01/19 22:02:33.156, 81 %, 71 %, 11507 MiB, 12288 MiB, 55, 114.62 W
2026/01/19 22:02:34.157, 80 %, 69 %, 11509 MiB, 12288 MiB, 55, 113.46 W
2026/01/19 22:02:35.157, 85 %, 75 %, 11509 MiB, 12288 MiB, 55, 116.92 W
2026/01/19 22:02:36.158, 80 %, 71 %, 11508 MiB, 12288 MiB, 56, 116.41 W
2026/01/19 22:02:37.160, 80 %, 71 %, 11564 MiB, 12288 MiB, 56, 114.35 W
2026/01/19 22:02:38.161, 83 %, 73 %, 11564 MiB, 12288 MiB, 56, 118.99 W
2026/01/19 22:02:39.173, 82 %, 71 %, 11547 MiB, 12288 MiB, 56, 115.76 W
2026/01/19 22:02:40.174, 73 %, 64 %, 11618 MiB, 12288 MiB, 56, 111.54 W
2026/01/19 22:02:41.174, 83 %, 84 %, 11618 MiB, 12288 MiB, 58, 117.90 W
2026/01/19 22:02:42.176, 82 %, 73 %, 11577 MiB, 12288 MiB, 57, 122.36 W
2026/01/19 22:02:43.181, 86 %, 77 %, 11526 MiB, 12288 MiB, 58, 119.50 W
2026/01/19 22:02:44.182, 83 %, 72 %, 11505 MiB, 12288 MiB, 58, 119.65 W
2026/01/19 22:02:45.183, 82 %, 82 %, 11495 MiB, 12288 MiB, 59, 126.52 W
2026/01/19 22:02:46.184, 85 %, 75 %, 11492 MiB, 12288 MiB, 59, 120.96 W
2026/01/19 22:02:47.185, 84 %, 74 %, 11492 MiB, 12288 MiB, 59, 118.60 W
2026/01/19 22:02:48.186, 82 %, 80 %, 11505 MiB, 12288 MiB, 59, 117.14 W
2026/01/19 22:02:49.187, 82 %, 75 %, 11504 MiB, 12288 MiB, 59, 125.97 W
2026/01/19 22:02:50.188, 83 %, 73 %, 11507 MiB, 12288 MiB, 60, 116.58 W
