timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 20:35:33.117, 0 %, 11 %, 11495 MiB, 12288 MiB, 52, 14.04 W
2026/01/19 20:35:34.124, 1 %, 6 %, 11491 MiB, 12288 MiB, 51, 14.58 W
2026/01/19 20:35:35.145, 98 %, 73 %, 11490 MiB, 12288 MiB, 55, 23.17 W
2026/01/19 20:35:36.161, 85 %, 71 %, 11490 MiB, 12288 MiB, 58, 118.68 W
2026/01/19 20:35:37.163, 85 %, 72 %, 11493 MiB, 12288 MiB, 58, 122.72 W
2026/01/19 20:35:38.164, 85 %, 71 %, 11493 MiB, 12288 MiB, 58, 124.28 W
2026/01/19 20:35:39.182, 83 %, 69 %, 11493 MiB, 12288 MiB, 58, 125.48 W
2026/01/19 20:35:40.184, 84 %, 72 %, 11493 MiB, 12288 MiB, 58, 121.45 W
2026/01/19 20:35:41.185, 83 %, 69 %, 11493 MiB, 12288 MiB, 58, 123.10 W
2026/01/19 20:35:42.217, 81 %, 67 %, 11492 MiB, 12288 MiB, 58, 125.38 W
2026/01/19 20:35:43.260, 81 %, 69 %, 11492 MiB, 12288 MiB, 58, 120.44 W
2026/01/19 20:35:44.270, 83 %, 70 %, 11492 MiB, 12288 MiB, 58, 121.24 W
2026/01/19 20:35:45.277, 81 %, 56 %, 11491 MiB, 12288 MiB, 58, 122.55 W
2026/01/19 20:35:46.285, 82 %, 68 %, 11491 MiB, 12288 MiB, 57, 123.72 W
2026/01/19 20:35:47.308, 81 %, 69 %, 11490 MiB, 12288 MiB, 57, 120.18 W
2026/01/19 20:35:48.312, 85 %, 71 %, 11490 MiB, 12288 MiB, 58, 123.45 W
2026/01/19 20:35:49.316, 85 %, 71 %, 11490 MiB, 12288 MiB, 58, 127.28 W
2026/01/19 20:35:50.319, 84 %, 71 %, 11490 MiB, 12288 MiB, 58, 123.05 W
2026/01/19 20:35:51.321, 85 %, 70 %, 11490 MiB, 12288 MiB, 58, 123.91 W
2026/01/19 20:35:52.323, 91 %, 53 %, 11489 MiB, 12288 MiB, 59, 126.67 W
2026/01/19 20:35:53.325, 83 %, 70 %, 11489 MiB, 12288 MiB, 58, 122.93 W
2026/01/19 20:35:54.328, 85 %, 73 %, 11489 MiB, 12288 MiB, 58, 122.99 W
2026/01/19 20:35:55.329, 84 %, 70 %, 11489 MiB, 12288 MiB, 55, 116.60 W
2026/01/19 20:35:56.331, 0 %, 0 %, 11489 MiB, 12288 MiB, 53, 46.64 W
2026/01/19 20:35:57.333, 0 %, 0 %, 11488 MiB, 12288 MiB, 51, 42.66 W
