timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 20:34:19.695, 8 %, 6 %, 11513 MiB, 12288 MiB, 35, 14.40 W
2026/01/19 20:34:20.703, 5 %, 5 %, 11513 MiB, 12288 MiB, 35, 13.38 W
2026/01/19 20:34:21.711, 100 %, 68 %, 11512 MiB, 12288 MiB, 38, 15.72 W
2026/01/19 20:34:22.760, 83 %, 74 %, 11512 MiB, 12288 MiB, 43, 114.80 W
2026/01/19 20:34:23.766, 82 %, 74 %, 11501 MiB, 12288 MiB, 43, 122.73 W
2026/01/19 20:34:24.771, 78 %, 67 %, 11501 MiB, 12288 MiB, 45, 123.66 W
2026/01/19 20:34:25.776, 79 %, 71 %, 11500 MiB, 12288 MiB, 44, 122.24 W
2026/01/19 20:34:26.784, 83 %, 76 %, 11499 MiB, 12288 MiB, 45, 122.50 W
2026/01/19 20:34:27.801, 83 %, 71 %, 11490 MiB, 12288 MiB, 46, 124.01 W
2026/01/19 20:34:28.807, 84 %, 76 %, 11489 MiB, 12288 MiB, 46, 125.34 W
2026/01/19 20:34:29.815, 86 %, 78 %, 11486 MiB, 12288 MiB, 47, 125.21 W
2026/01/19 20:34:30.820, 88 %, 56 %, 11483 MiB, 12288 MiB, 47, 127.17 W
2026/01/19 20:34:31.828, 85 %, 76 %, 11473 MiB, 12288 MiB, 48, 123.90 W
2026/01/19 20:34:32.834, 84 %, 75 %, 11471 MiB, 12288 MiB, 48, 124.71 W
2026/01/19 20:34:33.839, 86 %, 77 %, 11484 MiB, 12288 MiB, 49, 126.92 W
2026/01/19 20:34:34.844, 84 %, 75 %, 11484 MiB, 12288 MiB, 49, 125.15 W
2026/01/19 20:34:35.850, 85 %, 75 %, 11479 MiB, 12288 MiB, 49, 126.45 W
2026/01/19 20:34:36.864, 84 %, 75 %, 11477 MiB, 12288 MiB, 50, 127.27 W
2026/01/19 20:34:37.869, 85 %, 77 %, 11472 MiB, 12288 MiB, 50, 123.39 W
2026/01/19 20:34:38.874, 83 %, 74 %, 11470 MiB, 12288 MiB, 50, 125.48 W
2026/01/19 20:34:39.879, 84 %, 75 %, 11470 MiB, 12288 MiB, 51, 128.27 W
2026/01/19 20:34:40.885, 84 %, 77 %, 11470 MiB, 12288 MiB, 51, 126.01 W
2026/01/19 20:34:41.890, 85 %, 77 %, 11470 MiB, 12288 MiB, 52, 126.64 W
2026/01/19 20:34:42.939, 85 %, 77 %, 11470 MiB, 12288 MiB, 52, 128.12 W
2026/01/19 20:34:43.956, 85 %, 77 %, 11475 MiB, 12288 MiB, 53, 126.76 W
2026/01/19 20:34:44.970, 84 %, 76 %, 11475 MiB, 12288 MiB, 53, 127.36 W
2026/01/19 20:34:45.982, 85 %, 75 %, 11522 MiB, 12288 MiB, 53, 126.29 W
2026/01/19 20:34:46.989, 86 %, 78 %, 11522 MiB, 12288 MiB, 54, 126.86 W
2026/01/19 20:34:47.994, 83 %, 75 %, 11522 MiB, 12288 MiB, 54, 127.35 W
2026/01/19 20:34:48.998, 85 %, 75 %, 11520 MiB, 12288 MiB, 54, 125.42 W
2026/01/19 20:34:50.005, 85 %, 76 %, 11510 MiB, 12288 MiB, 54, 124.28 W
2026/01/19 20:34:51.007, 64 %, 57 %, 11510 MiB, 12288 MiB, 51, 114.50 W
2026/01/19 20:34:52.012, 0 %, 0 %, 11509 MiB, 12288 MiB, 50, 45.30 W
2026/01/19 20:34:53.014, 0 %, 0 %, 11506 MiB, 12288 MiB, 48, 41.52 W
