timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/20 18:24:16.383, 5 %, 17 %, 11213 MiB, 12288 MiB, 41, 13.57 W
2026/01/20 18:24:17.396, 4 %, 24 %, 11215 MiB, 12288 MiB, 41, 13.83 W
2026/01/20 18:24:18.397, 1 %, 12 %, 11214 MiB, 12288 MiB, 41, 13.22 W
2026/01/20 18:24:19.400, 0 %, 27 %, 11214 MiB, 12288 MiB, 41, 13.23 W
2026/01/20 18:24:20.401, 5 %, 4 %, 11192 MiB, 12288 MiB, 41, 14.58 W
2026/01/20 18:24:21.402, 1 %, 21 %, 11192 MiB, 12288 MiB, 41, 13.64 W
2026/01/20 18:24:22.405, 0 %, 27 %, 11189 MiB, 12288 MiB, 41, 13.16 W
2026/01/20 18:24:23.406, 1 %, 21 %, 11187 MiB, 12288 MiB, 41, 13.02 W
2026/01/20 18:24:24.407, 1 %, 24 %, 11186 MiB, 12288 MiB, 41, 13.04 W
2026/01/20 18:24:25.409, 2 %, 21 %, 11223 MiB, 12288 MiB, 41, 13.79 W
2026/01/20 18:24:26.410, 4 %, 4 %, 11231 MiB, 12288 MiB, 41, 14.18 W
2026/01/20 18:24:27.411, 0 %, 3 %, 11231 MiB, 12288 MiB, 41, 13.54 W
2026/01/20 18:24:28.414, 0 %, 6 %, 11231 MiB, 12288 MiB, 41, 13.48 W
2026/01/20 18:24:29.415, 1 %, 10 %, 11221 MiB, 12288 MiB, 41, 13.51 W
2026/01/20 18:24:30.416, 1 %, 3 %, 11220 MiB, 12288 MiB, 41, 13.46 W
2026/01/20 18:24:31.418, 1 %, 9 %, 11217 MiB, 12288 MiB, 40, 13.46 W
2026/01/20 18:24:32.420, 1 %, 10 %, 11213 MiB, 12288 MiB, 41, 13.41 W
2026/01/20 18:24:33.422, 1 %, 4 %, 11212 MiB, 12288 MiB, 40, 13.40 W
2026/01/20 18:24:34.423, 1 %, 10 %, 11211 MiB, 12288 MiB, 40, 13.34 W
2026/01/20 18:24:35.424, 0 %, 9 %, 11208 MiB, 12288 MiB, 40, 13.20 W
2026/01/20 18:24:36.431, 5 %, 5 %, 11191 MiB, 12288 MiB, 40, 13.65 W
2026/01/20 18:24:37.456, 1 %, 11 %, 11191 MiB, 12288 MiB, 40, 13.24 W
2026/01/20 18:24:38.483, 1 %, 5 %, 11191 MiB, 12288 MiB, 40, 13.50 W
2026/01/20 18:24:39.508, 0 %, 3 %, 11191 MiB, 12288 MiB, 40, 13.45 W
2026/01/20 18:24:40.535, 0 %, 7 %, 11191 MiB, 12288 MiB, 41, 13.47 W
2026/01/20 18:24:41.561, 1 %, 6 %, 11190 MiB, 12288 MiB, 40, 13.57 W
2026/01/20 18:24:42.586, 2 %, 7 %, 11190 MiB, 12288 MiB, 40, 13.26 W
2026/01/20 18:24:43.611, 1 %, 6 %, 11190 MiB, 12288 MiB, 40, 13.42 W
2026/01/20 18:24:45.451, 2 %, 14 %, 11192 MiB, 12288 MiB, 40, 13.68 W
2026/01/20 18:24:46.490, 2 %, 29 %, 11222 MiB, 12288 MiB, 40, 13.47 W
2026/01/20 18:24:47.514, 18 %, 11 %, 11229 MiB, 12288 MiB, 40, 14.97 W
2026/01/20 18:24:48.559, 9 %, 6 %, 11231 MiB, 12288 MiB, 40, 15.11 W
2026/01/20 18:24:49.562, 11 %, 7 %, 11226 MiB, 12288 MiB, 40, 14.77 W
2026/01/20 18:24:50.565, 7 %, 4 %, 11212 MiB, 12288 MiB, 40, 14.95 W
2026/01/20 18:24:51.568, 6 %, 4 %, 11205 MiB, 12288 MiB, 40, 14.74 W
2026/01/20 18:24:52.598, 6 %, 4 %, 11199 MiB, 12288 MiB, 40, 15.06 W
2026/01/20 18:24:53.600, 0 %, 9 %, 11260 MiB, 12288 MiB, 40, 13.74 W
2026/01/20 18:24:54.602, 0 %, 3 %, 11260 MiB, 12288 MiB, 40, 13.33 W
2026/01/20 18:24:55.604, 0 %, 4 %, 11259 MiB, 12288 MiB, 40, 13.42 W
2026/01/20 18:24:56.627, 0 %, 8 %, 11259 MiB, 12288 MiB, 40, 13.44 W
2026/01/20 18:24:57.629, 4 %, 5 %, 11267 MiB, 12288 MiB, 40, 13.53 W
2026/01/20 18:24:58.631, 2 %, 4 %, 11267 MiB, 12288 MiB, 40, 13.35 W
2026/01/20 18:24:59.633, 2 %, 4 %, 11207 MiB, 12288 MiB, 40, 13.28 W
2026/01/20 18:25:00.655, 2 %, 4 %, 11205 MiB, 12288 MiB, 40, 13.31 W
2026/01/20 18:25:01.657, 2 %, 3 %, 11191 MiB, 12288 MiB, 40, 13.62 W
2026/01/20 18:25:02.658, 0 %, 7 %, 11191 MiB, 12288 MiB, 40, 13.37 W
2026/01/20 18:25:03.660, 1 %, 3 %, 11191 MiB, 12288 MiB, 40, 13.25 W
2026/01/20 18:25:04.684, 0 %, 3 %, 11191 MiB, 12288 MiB, 40, 13.48 W
2026/01/20 18:25:05.686, 0 %, 3 %, 11220 MiB, 12288 MiB, 40, 13.56 W
2026/01/20 18:25:06.688, 4 %, 36 %, 11217 MiB, 12288 MiB, 40, 13.90 W
2026/01/20 18:25:07.692, 1 %, 31 %, 11221 MiB, 12288 MiB, 40, 13.64 W
2026/01/20 18:25:08.724, 7 %, 11 %, 11238 MiB, 12288 MiB, 40, 14.84 W
2026/01/20 18:25:09.726, 15 %, 7 %, 11243 MiB, 12288 MiB, 40, 14.62 W
2026/01/20 18:25:10.729, 2 %, 27 %, 11245 MiB, 12288 MiB, 40, 14.54 W
2026/01/20 18:25:11.731, 1 %, 27 %, 11246 MiB, 12288 MiB, 40, 14.12 W
2026/01/20 18:25:12.733, 2 %, 4 %, 11242 MiB, 12288 MiB, 40, 13.73 W
2026/01/20 18:25:13.734, 1 %, 7 %, 11241 MiB, 12288 MiB, 40, 13.72 W
2026/01/20 18:25:15.055, 2 %, 5 %, 11232 MiB, 12288 MiB, 40, 13.46 W
2026/01/20 18:25:16.534, 1 %, 5 %, 11219 MiB, 12288 MiB, 40, 13.40 W
2026/01/20 18:25:17.536, 1 %, 3 %, 11215 MiB, 12288 MiB, 40, 13.50 W
2026/01/20 18:25:18.538, 1 %, 3 %, 11209 MiB, 12288 MiB, 40, 13.41 W
2026/01/20 18:25:19.559, 0 %, 4 %, 11194 MiB, 12288 MiB, 40, 13.52 W
2026/01/20 18:25:20.561, 0 %, 3 %, 11184 MiB, 12288 MiB, 40, 13.48 W
2026/01/20 18:25:21.564, 12 %, 9 %, 11221 MiB, 12288 MiB, 40, 13.68 W
2026/01/20 18:25:22.566, 0 %, 3 %, 11221 MiB, 12288 MiB, 40, 13.52 W
2026/01/20 18:25:23.599, 0 %, 3 %, 11221 MiB, 12288 MiB, 40, 13.41 W
2026/01/20 18:25:24.601, 1 %, 26 %, 11222 MiB, 12288 MiB, 40, 13.21 W
2026/01/20 18:25:25.603, 0 %, 15 %, 11224 MiB, 12288 MiB, 40, 13.80 W
2026/01/20 18:25:26.606, 10 %, 12 %, 11227 MiB, 12288 MiB, 40, 14.04 W
2026/01/20 18:25:27.607, 0 %, 8 %, 11221 MiB, 12288 MiB, 40, 13.23 W
2026/01/20 18:25:28.609, 9 %, 8 %, 11206 MiB, 12288 MiB, 40, 13.49 W
2026/01/20 18:25:29.634, 1 %, 13 %, 11206 MiB, 12288 MiB, 40, 13.31 W
2026/01/20 18:25:30.636, 2 %, 27 %, 11209 MiB, 12288 MiB, 40, 13.65 W
2026/01/20 18:25:31.638, 3 %, 17 %, 11209 MiB, 12288 MiB, 40, 13.13 W
2026/01/20 18:25:32.640, 3 %, 4 %, 11205 MiB, 12288 MiB, 40, 13.60 W
2026/01/20 18:25:33.667, 1 %, 30 %, 11196 MiB, 12288 MiB, 40, 13.38 W
2026/01/20 18:25:34.669, 0 %, 14 %, 11194 MiB, 12288 MiB, 40, 12.89 W
2026/01/20 18:25:35.671, 1 %, 25 %, 11188 MiB, 12288 MiB, 40, 12.99 W
2026/01/20 18:25:36.673, 4 %, 28 %, 11189 MiB, 12288 MiB, 40, 13.10 W
2026/01/20 18:25:37.675, 1 %, 6 %, 11189 MiB, 12288 MiB, 40, 13.21 W
2026/01/20 18:25:38.703, 0 %, 28 %, 11201 MiB, 12288 MiB, 40, 13.22 W
2026/01/20 18:25:39.705, 6 %, 4 %, 11208 MiB, 12288 MiB, 40, 14.49 W
2026/01/20 18:25:40.707, 7 %, 4 %, 11206 MiB, 12288 MiB, 40, 14.48 W
2026/01/20 18:25:41.711, 7 %, 4 %, 11202 MiB, 12288 MiB, 40, 14.54 W
2026/01/20 18:25:42.715, 8 %, 4 %, 11194 MiB, 12288 MiB, 40, 14.67 W
2026/01/20 18:25:43.765, 9 %, 5 %, 11189 MiB, 12288 MiB, 40, 14.63 W
2026/01/20 18:25:44.769, 3 %, 8 %, 11192 MiB, 12288 MiB, 40, 13.95 W
2026/01/20 18:25:46.546, 1 %, 3 %, 11192 MiB, 12288 MiB, 40, 12.92 W
2026/01/20 18:25:47.549, 1 %, 10 %, 11192 MiB, 12288 MiB, 40, 12.87 W
2026/01/20 18:25:48.551, 1 %, 12 %, 11192 MiB, 12288 MiB, 40, 12.88 W
2026/01/20 18:25:49.554, 1 %, 3 %, 11192 MiB, 12288 MiB, 40, 13.22 W
2026/01/20 18:25:50.557, 4 %, 5 %, 11193 MiB, 12288 MiB, 40, 13.01 W
2026/01/20 18:25:51.560, 0 %, 4 %, 11193 MiB, 12288 MiB, 40, 13.08 W
2026/01/20 18:25:52.563, 0 %, 4 %, 11192 MiB, 12288 MiB, 40, 12.89 W
2026/01/20 18:25:53.565, 0 %, 27 %, 11192 MiB, 12288 MiB, 40, 12.90 W
2026/01/20 18:25:54.567, 0 %, 12 %, 11203 MiB, 12288 MiB, 40, 13.29 W
2026/01/20 18:25:55.595, 0 %, 3 %, 11202 MiB, 12288 MiB, 40, 13.06 W
2026/01/20 18:25:56.597, 1 %, 4 %, 11192 MiB, 12288 MiB, 40, 13.05 W
2026/01/20 18:25:57.599, 2 %, 4 %, 11202 MiB, 12288 MiB, 40, 13.56 W
2026/01/20 18:25:58.602, 2 %, 15 %, 11202 MiB, 12288 MiB, 40, 12.84 W
2026/01/20 18:25:59.604, 2 %, 12 %, 11202 MiB, 12288 MiB, 40, 12.91 W
2026/01/20 18:26:00.632, 1 %, 7 %, 11193 MiB, 12288 MiB, 40, 12.98 W
2026/01/20 18:26:01.633, 1 %, 3 %, 11202 MiB, 12288 MiB, 40, 13.56 W
2026/01/20 18:26:02.636, 1 %, 4 %, 11202 MiB, 12288 MiB, 40, 12.94 W
2026/01/20 18:26:03.638, 1 %, 17 %, 11202 MiB, 12288 MiB, 40, 13.48 W
2026/01/20 18:26:04.641, 0 %, 6 %, 11202 MiB, 12288 MiB, 40, 13.03 W
2026/01/20 18:26:05.668, 8 %, 4 %, 11203 MiB, 12288 MiB, 40, 14.09 W
2026/01/20 18:26:06.671, 19 %, 10 %, 11217 MiB, 12288 MiB, 40, 15.06 W
2026/01/20 18:26:07.675, 11 %, 6 %, 11210 MiB, 12288 MiB, 40, 14.70 W
2026/01/20 18:26:08.715, 9 %, 4 %, 11204 MiB, 12288 MiB, 40, 14.60 W
2026/01/20 18:26:09.716, 7 %, 4 %, 11204 MiB, 12288 MiB, 40, 14.34 W
2026/01/20 18:26:10.719, 8 %, 4 %, 11204 MiB, 12288 MiB, 40, 14.33 W
2026/01/20 18:26:11.723, 8 %, 5 %, 11185 MiB, 12288 MiB, 40, 14.64 W
2026/01/20 18:26:12.728, 8 %, 4 %, 11179 MiB, 12288 MiB, 40, 14.53 W
2026/01/20 18:26:13.781, 10 %, 6 %, 11213 MiB, 12288 MiB, 40, 15.07 W
2026/01/20 18:26:14.783, 8 %, 4 %, 11208 MiB, 12288 MiB, 40, 14.52 W
2026/01/20 18:26:15.786, 6 %, 6 %, 11201 MiB, 12288 MiB, 40, 14.27 W
2026/01/20 18:26:17.558, 2 %, 4 %, 11201 MiB, 12288 MiB, 39, 13.62 W
2026/01/20 18:26:18.560, 3 %, 10 %, 11203 MiB, 12288 MiB, 40, 15.18 W
2026/01/20 18:26:19.657, 79 %, 70 %, 11284 MiB, 12288 MiB, 48, 90.42 W
2026/01/20 18:26:20.659, 81 %, 73 %, 11285 MiB, 12288 MiB, 49, 123.46 W
2026/01/20 18:26:21.661, 82 %, 73 %, 11276 MiB, 12288 MiB, 49, 123.60 W
2026/01/20 18:26:22.663, 83 %, 74 %, 11284 MiB, 12288 MiB, 50, 125.82 W
2026/01/20 18:26:23.664, 85 %, 77 %, 11277 MiB, 12288 MiB, 50, 123.99 W
2026/01/20 18:26:24.673, 84 %, 75 %, 11266 MiB, 12288 MiB, 51, 126.10 W
2026/01/20 18:26:25.675, 85 %, 75 %, 11266 MiB, 12288 MiB, 51, 127.50 W
2026/01/20 18:26:26.676, 78 %, 70 %, 11283 MiB, 12288 MiB, 52, 122.24 W
2026/01/20 18:26:27.679, 83 %, 73 %, 11283 MiB, 12288 MiB, 52, 106.25 W
2026/01/20 18:26:28.680, 82 %, 73 %, 11275 MiB, 12288 MiB, 52, 127.06 W
2026/01/20 18:26:29.683, 80 %, 71 %, 11274 MiB, 12288 MiB, 53, 123.42 W
