timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/20 18:28:30.888, 0 %, 8 %, 11354 MiB, 12288 MiB, 45, 13.61 W
2026/01/20 18:28:31.894, 0 %, 10 %, 11354 MiB, 12288 MiB, 45, 13.67 W
2026/01/20 18:28:32.900, 6 %, 7 %, 11344 MiB, 12288 MiB, 45, 14.68 W
2026/01/20 18:28:33.908, 81 %, 65 %, 11333 MiB, 12288 MiB, 52, 94.42 W
2026/01/20 18:28:34.913, 80 %, 66 %, 11342 MiB, 12288 MiB, 52, 124.18 W
2026/01/20 18:28:35.919, 79 %, 68 %, 11342 MiB, 12288 MiB, 53, 126.13 W
2026/01/20 18:28:36.924, 78 %, 63 %, 11338 MiB, 12288 MiB, 53, 123.83 W
2026/01/20 18:28:37.930, 98 %, 38 %, 11336 MiB, 12288 MiB, 53, 117.42 W
2026/01/20 18:28:38.935, 82 %, 67 %, 11325 MiB, 12288 MiB, 53, 124.31 W
2026/01/20 18:28:39.945, 80 %, 68 %, 11302 MiB, 12288 MiB, 53, 124.73 W
2026/01/20 18:28:40.950, 81 %, 66 %, 11301 MiB, 12288 MiB, 54, 126.84 W
2026/01/20 18:28:41.956, 95 %, 37 %, 11301 MiB, 12288 MiB, 55, 126.44 W
2026/01/20 18:28:42.961, 80 %, 66 %, 11301 MiB, 12288 MiB, 54, 127.69 W
2026/01/20 18:28:43.966, 34 %, 29 %, 11301 MiB, 12288 MiB, 54, 117.08 W
2026/01/20 18:28:44.971, 79 %, 64 %, 11291 MiB, 12288 MiB, 54, 123.70 W
2026/01/20 18:28:45.977, 54 %, 45 %, 11291 MiB, 12288 MiB, 51, 122.06 W
2026/01/20 18:28:46.983, 0 %, 0 %, 11291 MiB, 12288 MiB, 49, 45.71 W
2026/01/20 18:28:48.027, 6 %, 1 %, 11340 MiB, 12288 MiB, 48, 42.79 W
